edge_id,u,v,lat,lng,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count,zone,source_area,destination_area,road_name,road_type,highway_type,zone_type,static_component,graph_component
EDGE_10_42919,10,42919,12.962292,77.59583,,30.0,0.36,0.33333334,0.1341108,0.0,0.44660193,0.39063478,0.23823324,0.34689328,0.43917334,0.15728179,0.43104574,0.5849147,0.29833335,0.63605446,0.5440465,0.1,0.4017841,0.2269759,0.42269775,0.14310646,0.7,1,MG Road,MG Road,MG Road,Langford Road,tertiary,tertiary,Residential Hub,0.15662667397811708,-1.2394585999770108e-06
EDGE_11_42920,11,42920,12.973958,77.60942,,30.0,0.44,0.4814815,0.23906706,0.25,0.2524272,0.20444012,0.3137201,0.30388805,0.47657642,0.29753307,0.50407773,0.46943447,0.32287037,0.7319246,0.554926,0.48565066,0.48906022,0.21715419,0.38203436,0.32984293,0.725,2,MG Road,MG Road,MG Road,1st Cross Road,residential,residential,Residential Hub,0.20408620014989823,-1.2394585999770108e-06
EDGE_12_42921,12,42921,12.972735,77.60955,,30.0,0.44,0.4074074,0.34402332,0.33333334,0.22330096,0.12600282,0.345207,0.3164828,0.4582667,0.3703742,0.48607305,0.504557,0.26435184,0.7436492,0.5439498,0.27683234,0.49678075,0.1147287,0.30432945,0.38743454,0.73333335,1,MG Road,MG Road,MG Road,1st Cross Road,residential,residential,Residential Hub,0.17807974296523393,-1.2394585999770108e-06
EDGE_13_42922,13,42922,12.973339,77.60986,,30.0,0.56,0.5185185,0.22740525,0.25,0.23300971,0.17813945,0.5262216,0.58308864,0.4563527,0.30243185,0.4023016,0.5806868,0.44262964,0.57202166,0.4931581,0.2548178,0.50832707,0.10978276,0.37201357,0.30366492,0.725,1,MG Road,MG Road,MG Road,Residency Road,primary,primary,Residential Hub,0.0454746605702846,-1.2394585999770108e-06
EDGE_14_42923,14,42923,12.967307,77.59495,,50.0,0.2,0.18518518,0.27405247,0.041666668,0.46601942,0.42549428,0.34221575,0.6238863,0.49534616,0.23026516,0.42395982,0.70232207,0.3592963,0.63039386,0.5330533,0.1,0.3517325,0.1280459,0.33414614,0.2425829,0.70416665,1,MG Road,MG Road,MG Road,Rajaram Mohan Roy Road,primary,primary,Residential Hub,0.07097956438535805,-1.2394585999770108e-06
EDGE_42924_42925,42924,42925,12.967155,77.5948,,50.0,0.2,0.25925925,0.26530612,0.041666668,0.46601942,0.41437614,0.33959183,0.48783675,0.40733212,0.22371149,0.4215439,0.68409663,0.39681482,0.61303496,0.5196488,0.1,0.36806443,0.22048508,0.37418306,0.23385689,0.70416665,2,MG Road,MG Road,MG Road,Vittal Mallya Road,primary,primary_link,Residential Hub,0.08149991566920291,-1.2394585999770108e-06
EDGE_16_42926,16,42926,12.972179,77.59405,,40.0,0.24,0.2962963,0.32069972,0.16666667,0.39805827,0.34160903,0.22820991,0.34768397,0.4394693,0.27551556,0.4518711,0.59964067,0.32907408,0.6500083,0.54757375,0.1,0.40317208,0.16913083,0.33425358,0.2617801,0.71666664,2,MG Road,MG Road,MG Road,Vittal Mallya Road,tertiary,tertiary,Residential Hub,0.1518522534367911,-1.2394585999770108e-06
EDGE_17_42927,17,42927,12.972328,77.594124,,50.0,0.24,0.2962963,0.32069972,0.16666667,0.407767,0.33141896,0.22820991,0.43168396,0.41076514,0.27551556,0.41125435,0.63825196,0.36407408,0.6355689,0.5279966,0.1,0.40317208,0.29125154,0.38310188,0.2617801,0.71666664,2,MG Road,MG Road,MG Road,Kasturba Road,secondary,secondary,Residential Hub,0.12397990219172154,-1.2394585999770108e-06
EDGE_18_42928,18,42928,12.976659,77.59934,,50.0,0.56,0.6666667,0.4431487,0.375,0.36893204,0.110752344,0.4409446,0.50397784,0.4285458,0.4633253,0.42956695,0.48476958,0.49666667,0.44957638,0.45906293,0.1,0.59929997,0.18046027,0.32477438,0.47469458,0.7375,3,MG Road,MG Road,MG Road,Queen's Road,secondary,secondary,Commercial Hub,0.045200295097565985,-1.2394585999770108e-06
EDGE_19_42929,19,42929,12.976694,77.599815,,30.0,0.52,0.5555556,0.4606414,0.41666666,0.36893204,0.11291006,0.42419243,0.67387694,0.39900413,0.4704108,0.4625281,0.5380765,0.4288889,0.51492065,0.42853507,0.30543682,0.5869723,0.23310989,0.3108656,0.478185,0.7416667,2,MG Road,MG Road,MG Road,Mahatma Gandhi Road,secondary,secondary,Commercial Hub,0.01770297839818782,-1.2394585999770108e-06
EDGE_20_42930,20,42930,12.96366,77.60109,,30.0,0.4,0.37037036,0.11953353,0.0,0.42718446,0.6183032,0.25586006,0.35234404,0.4348735,0.15462779,0.44598973,0.5713898,0.3075926,0.6534253,0.541628,0.1,0.41939905,0.14421867,0.3946969,0.13612565,0.7,1,MG Road,MG Road,MG Road,Rhenius Street,tertiary,tertiary,Residential Hub,0.16552532591835467,-1.2394585999770108e-06
EDGE_21_42931,21,42931,12.964125,77.601,,40.0,0.44,0.4074074,0.12244898,0.0,0.42718446,0.6161591,0.27873468,0.5948939,0.46480516,0.16403398,0.4106972,0.5475955,0.31685185,0.6578724,0.4993334,0.19750875,0.44138718,0.10779108,0.37910545,0.14310646,0.7,1,MG Road,MG Road,MG Road,Rhenius Street,tertiary,tertiary,Residential Hub,0.11030800957656173,-1.2394585999770108e-06
EDGE_22_42932,22,42932,12.965285,77.600266,,40.0,0.32,0.2962963,0.18950437,0.125,0.4368932,0.59654135,0.3828513,0.6353405,0.34475514,0.2096513,0.45304763,0.70305496,0.38707408,0.6542306,0.48306534,0.32909012,0.37129632,0.26901433,0.4489715,0.21291448,0.7125,1,MG Road,MG Road,MG Road,Richmond Road,primary,primary,Residential Hub,0.060574810842703684,-1.2394585999770108e-06
EDGE_23_42933,23,42933,12.963882,77.606285,,30.0,0.48,0.5185185,0.0670554,0.0,0.34951457,0.52682084,0.28411663,0.29044664,0.4369426,0.13620634,0.45388353,0.46650982,0.33212963,0.7441167,0.5519935,0.25777423,0.46731657,0.08283562,0.388511,0.11343805,0.7,2,MG Road,MG Road,MG Road,Unnamed Road,residential,residential,Residential Hub,0.19681121904562543,-1.2394585999770108e-06
EDGE_24_42934,24,42934,12.963405,77.60584,,30.0,0.2,0.18518518,0.04956268,0.0,0.3592233,0.55174327,0.1248688,0.23794752,0.4464074,0.07691054,0.45644072,0.5970037,0.20879629,0.8257991,0.60147226,0.31474504,0.29561004,0.16269992,0.42657918,0.08202443,0.7,1,MG Road,MG Road,MG Road,Curley Street,residential,residential,Residential Hub,0.24644243673951285,-1.2394585999770108e-06
EDGE_42935_42936,42935,42936,12.964215,77.60587,,30.0,0.52,0.6296296,0.08746356,0.083333336,0.36893204,0.5182358,0.31223908,0.30009562,0.43897587,0.16443539,0.40777138,0.42145538,0.3999074,0.5048573,0.51056635,0.1486902,0.51219636,0.15488106,0.41018632,0.12914485,0.7083333,3,MG Road,MG Road,MG Road,Curley Street,residential,residential,Residential Hub,0.15396102752525836,-1.2394585999770108e-06
EDGE_26_42937,26,42937,12.962967,77.60547,,30.0,0.24,0.2962963,0.034985423,0.0,0.36893204,0.5732981,0.14249563,0.24339825,0.38297343,0.070591606,0.4794277,0.57158947,0.27657408,0.77671206,0.57134485,0.20512629,0.3317435,0.119352646,0.4143423,0.06282722,0.7,2,MG Road,MG Road,MG Road,Serpentine Street,residential,residential,Residential Hub,0.212637331399409,-1.2394585999770108e-06
EDGE_27_42938,27,42938,12.962249,77.59449,,60.0,0.36,0.33333334,0.16909622,0.0,0.4368932,0.3144592,0.39872888,0.64009154,0.48822296,0.1787844,0.43508008,0.6451998,0.39633334,0.59234536,0.51349103,0.1,0.41053045,0.16691267,0.38642755,0.16230367,0.7,1,MG Road,MG Road,MG Road,Kengal Hanumanthaiah Road,primary,primary,Residential Hub,0.056310693340464665,-1.2394585999770108e-06
EDGE_28_42939,28,42939,12.96213,77.59417,,60.0,0.36,0.33333334,0.16618076,0.0,0.4368932,0.2971872,0.39785424,0.5397417,0.4876989,0.17747244,0.41546115,0.645357,0.39633334,0.5569162,0.5282206,0.1,0.4098016,0.1413765,0.37723348,0.16230367,0.7,1,MG Road,MG Road,MG Road,Mission Road,primary,primary,Residential Hub,0.06785782292468141,-1.2394585999770108e-06
EDGE_29_42940,29,42940,12.965052,77.59889,,20.0,0.48,0.44444445,0.20408164,0.083333336,0.47572815,0.54240125,0.4752245,0.6658898,0.49574047,0.23499729,0.45210284,0.5985001,0.4241111,0.63319933,0.5052404,0.5631094,0.4830546,0.10546336,0.34960294,0.20942408,0.7083333,1,MG Road,MG Road,MG Road,Richmond Road,primary,primary,Residential Hub,0.06976803961604677,-1.2394585999770108e-06
EDGE_30_42941,30,42941,12.965093,77.598335,,40.0,0.48,0.44444445,0.20116618,0.083333336,0.5048544,0.5197894,0.47434986,0.6655399,0.42766228,0.2368267,0.46987638,0.61892354,0.4241111,0.56393236,0.47462806,0.5272122,0.48232573,0.084507756,0.34224108,0.21989529,0.7083333,1,MG Road,MG Road,MG Road,Richmond Road,primary,primary,Residential Hub,0.03023669654692572,-1.2394585999770108e-06
EDGE_31_42942,31,42942,12.962273,77.59407,,60.0,0.36,0.33333334,0.17492712,0.0,0.42718446,0.28845924,0.40047812,0.5407913,0.45689827,0.1840261,0.46788868,0.65459716,0.39633334,0.57497114,0.5210852,0.10192874,0.4119882,0.1708939,0.38597924,0.17102967,0.7,1,MG Road,MG Road,MG Road,Mission Road,primary,primary,Residential Hub,0.06702957202658684,-1.2394585999770108e-06
EDGE_32_42943,32,42943,12.965229,77.596886,,20.0,0.48,0.5185185,0.2244898,0.083333336,0.47572815,0.45693675,0.48134694,0.56833875,0.4208156,0.2515108,0.4886139,0.59134793,0.48262963,0.5013804,0.48158193,0.14637102,0.5066752,0.10969054,0.34415093,0.23385689,0.7083333,2,MG Road,MG Road,MG Road,Rajaram Mohan Roy Road,primary,primary,Residential Hub,0.03778540217071483,-1.2394585999770108e-06
EDGE_33_42944,33,42944,12.966719,77.596504,,30.0,0.44,0.4074074,0.28279883,0.083333336,0.46601942,0.4701787,0.32683966,0.37913585,0.40710425,0.2816975,0.4309486,0.56490576,0.31685185,0.67353374,0.5203082,0.98346776,0.48147464,0.122753166,0.32896784,0.2670157,0.7083333,1,MG Road,MG Road,MG Road,Lavelle Road,tertiary,tertiary,Residential Hub,0.13258321821110117,-1.2394585999770108e-06
EDGE_34_42945,34,42945,12.965542,77.60143,,40.0,0.32,0.37037036,0.17492712,0.041666668,0.407767,0.5761577,0.22847813,0.5795913,0.40500632,0.18376344,0.40141585,0.58035,0.3475926,0.6708483,0.49393916,0.1,0.40924746,0.10760982,0.3606656,0.17626527,0.70416665,2,MG Road,MG Road,MG Road,Hayes Road,tertiary,tertiary,Residential Hub,0.09490508766029165,-1.2394585999770108e-06
EDGE_42946_42947,42946,42947,12.965815,77.6015,,30.0,0.24,0.22222222,0.18367347,0.041666668,0.41747573,0.5670798,0.18710203,0.5662408,0.45802572,0.18198203,0.4401706,0.6237034,0.27055556,0.73585546,0.52847254,0.10199335,0.350397,0.1089585,0.35814384,0.19720767,0.70416665,1,MG Road,MG Road,MG Road,Hayes Road,tertiary,tertiary,Residential Hub,0.13153123846234405,-1.2394585999770108e-06
EDGE_36_42948,36,42948,12.968775,77.602715,,40.0,0.4,0.37037036,0.30029154,0.20833333,0.36893204,0.44730255,0.31008747,0.609035,0.48343816,0.31072894,0.36518386,0.5568204,0.3075926,0.67317164,0.49968708,0.3287558,0.46458855,0.14135885,0.33028767,0.3158813,0.72083336,1,MG Road,MG Road,MG Road,Convent Road,tertiary,tertiary,Residential Hub,0.10604898021030709,-1.2394585999770108e-06
EDGE_37_42949,37,42949,12.970254,77.603546,,25.0,0.44,0.4814815,0.5131195,0.29166666,0.3398058,0.37677312,0.54593587,0.59577435,0.50145423,0.44963068,0.4249908,0.58197117,0.47337037,0.46837392,0.4856471,1.0516844,0.5191118,0.086575456,0.2819614,0.41186735,0.7291667,2,MG Road,MG Road,MG Road,Residency Road,primary,primary,Commercial Hub,0.03706407992033015,-1.2394585999770108e-06
EDGE_38_42950,38,42950,12.963142,77.60122,,30.0,0.28,0.25925925,0.12827988,0.0,0.42718446,0.6224949,0.19248396,0.26179358,0.4480182,0.14684637,0.43995482,0.56689084,0.22731481,0.74930066,0.5755693,0.1,0.35780787,0.13304284,0.38716534,0.15706806,0.7,1,MG Road,MG Road,MG Road,Alexandra Street,residential,residential,Residential Hub,0.2184935366534454,-1.2394585999770108e-06
EDGE_39_42951,39,42951,12.962961,77.60437,,30.0,0.32,0.2962963,0.06122449,0.0,0.3883495,0.5893115,0.19436735,0.26094693,0.42271265,0.09806411,0.4351983,0.5596677,0.23657407,0.7709735,0.5711153,0.3775297,0.3623033,0.17744839,0.42839694,0.07504363,0.7,1,MG Road,MG Road,MG Road,Wellington Street,residential,residential,Residential Hub,0.22165074577481664,-1.2394585999770108e-06
EDGE_40_42952,40,42952,12.962646,77.604996,,30.0,0.28,0.33333334,0.034985423,0.0,0.36893204,0.5911713,0.16449563,0.25059825,0.4461332,0.075544484,0.46528736,0.5378267,0.28583333,0.6923551,0.5728992,0.26856866,0.35300276,0.17915933,0.438265,0.059336822,0.7,2,MG Road,MG Road,MG Road,Alfred Street,residential,residential,Residential Hub,0.22146746369401177,-1.2394585999770108e-06
EDGE_41_42953,41,42953,12.963722,77.60234,,30.0,0.2,0.18518518,0.110787176,0.0,0.37864077,0.603703,0.14323615,0.24529447,0.48885062,0.11755056,0.4493613,0.5842707,0.20879629,0.79561466,0.6054531,0.42721054,0.31091616,0.12367287,0.3895398,0.12565444,0.7,1,MG Road,MG Road,MG Road,Kingston Road,residential,residential,Residential Hub,0.2474537765528222,-1.2394585999770108e-06
EDGE_42_42954,42,42954,12.964764,77.60314,,30.0,0.32,0.2962963,0.14285715,0.0,0.42718446,0.55285275,0.21885714,0.27074286,0.5148971,0.15940614,0.46342555,0.53201234,0.23657407,0.7636711,0.5920426,0.31120998,0.38271144,0.11210426,0.37368786,0.15706806,0.7,1,MG Road,MG Road,MG Road,Leonard Lane,residential,residential,Residential Hub,0.23438527312192553,-1.2394585999770108e-06
EDGE_43_42955,43,42955,12.972,77.6072,,40.0,0.56,0.5925926,0.79591835,1.0,0.29126215,0.12145099,0.6967755,0.6513102,0.49708664,0.76415277,0.45843187,0.53883696,0.50114816,0.5333025,0.460343,0.1,0.6920508,0.20811372,0.18352021,0.7399651,0.8,2,MG Road,MG Road,MG Road,Residency Road,primary,primary,Nightlife Hub,0.04901740915374247,-1.2394585999770108e-06
EDGE_44_42956,44,42956,12.97169,77.60708,,50.0,0.56,0.5185185,0.787172,0.9583333,0.30097088,0.12719099,0.5441516,0.54526067,0.49315277,0.75709736,0.40546712,0.52464676,0.37962964,0.6289953,0.48162025,0.1,0.64826876,0.16900416,0.19978377,0.74345547,0.79583335,1,MG Road,MG Road,MG Road,Brigade Road,secondary,secondary,Nightlife Hub,0.10158827483417042,-1.2394585999770108e-06
EDGE_45_42957,45,42957,12.969856,77.60656,,50.0,0.68,0.6296296,0.5714286,0.45833334,0.2524272,0.21814522,0.5454286,0.54097146,0.5044599,0.5667563,0.46804416,0.4768102,0.4074074,0.61892784,0.4841686,0.1,0.6581107,0.17444634,0.27747086,0.539267,0.74583334,1,MG Road,MG Road,MG Road,Brigade Road,secondary,secondary,Commercial Hub,0.10201451759681282,-1.2394585999770108e-06
EDGE_46_42958,46,42958,12.969847,77.60698,,30.0,0.68,0.7037037,0.5131195,0.5416667,0.2524272,0.1975175,0.52793586,0.37997434,0.45294386,0.543615,0.43380916,0.38763535,0.37842593,0.6149646,0.4829426,0.28031278,0.68512887,0.21151374,0.28385982,0.521815,0.75416666,2,MG Road,MG Road,MG Road,Markham Road,residential,residential,Commercial Hub,0.14290706263535102,-1.2394585999770108e-06
EDGE_47_42959,47,42959,12.97475,77.60594,,30.0,0.48,0.5185185,0.69970846,0.8333333,0.37864077,0.31270418,0.47391254,0.659365,0.46127152,0.6916681,0.45645517,0.46821114,0.35662964,0.69270426,0.45932722,1.2070374,0.63701826,0.20108771,0.1999602,0.7382199,0.78333336,2,MG Road,MG Road,MG Road,Church Street,unclassified,unclassified,Nightlife Hub,0.10522052030596643,-1.2394585999770108e-06
EDGE_48_42960,48,42960,12.973963,77.60763,,30.0,0.52,0.4814815,0.56559765,0.7083333,0.32038835,0.20769216,0.4556793,0.51147175,0.49240416,0.5902633,0.46385238,0.53968614,0.37037036,0.6160728,0.49948594,0.24907944,0.5946929,0.19291987,0.2580549,0.6230366,0.7708333,1,MG Road,MG Road,MG Road,Brigade Road,secondary,secondary,Nightlife Hub,0.1187614583348823,-1.2394585999770108e-06
EDGE_49_42961,49,42961,12.976254,77.60114,,40.0,0.44,0.4814815,0.5568513,0.5416667,0.33009708,0.1978184,0.40905538,0.46102217,0.47059909,0.5492838,0.42613935,0.5312277,0.39287037,0.581927,0.50090605,0.33247292,0.5685063,0.060348354,0.20808753,0.59511346,0.75416666,2,MG Road,MG Road,MG Road,Unnamed Road,secondary,secondary_link,Commercial Hub,0.09451731205042002,-1.2394585999770108e-06
EDGE_50_42962,50,42962,12.97616,77.60173,,40.0,0.44,0.4814815,0.6297376,0.45833334,0.34951457,0.23371513,0.4309213,0.5047685,0.48468268,0.5889325,0.4292691,0.5420026,0.41037038,0.6298726,0.5042938,0.17679754,0.5636509,0.12023558,0.23537837,0.64572424,0.74583334,2,MG Road,MG Road,MG Road,Saint Mark's Road,secondary,secondary,Commercial Hub,0.09629070934911804,-1.2394585999770108e-06
EDGE_51_42963,51,42963,12.975686,77.60211,,20.0,0.44,0.4814815,0.7638484,0.45833334,0.36893204,0.27436224,0.4711545,0.39486182,0.42568874,0.67074835,0.45101288,0.49370077,0.34737036,0.6338374,0.4931367,0.44871676,0.63179404,0.08106407,0.12950176,0.71727747,0.74583334,2,MG Road,MG Road,MG Road,Church Street,unclassified,unclassified,Commercial Hub,0.10707611820183964,-1.2394585999770108e-06
EDGE_52_42964,52,42964,12.975541,77.600746,,30.0,0.44,0.4814815,0.5568513,0.5833333,0.37864077,0.22270738,0.40905538,0.34202215,0.50594383,0.55397403,0.43555468,0.46062425,0.32287037,0.6445174,0.528698,0.55067,0.5685063,0.21627948,0.27045998,0.5968586,0.7583333,2,MG Road,MG Road,MG Road,M L Subbaraju Road,residential,residential,Commercial Hub,0.17874028187152308,-1.2394585999770108e-06
EDGE_53_42965,53,42965,12.975638,77.60165,,40.0,0.44,0.4074074,0.6618076,0.45833334,0.36893204,0.25404313,0.44054228,0.5086169,0.43004027,0.60807604,0.50159484,0.588025,0.35185185,0.61463,0.48340186,0.1,0.5531499,0.13117503,0.22852966,0.6614311,0.74583334,1,MG Road,MG Road,MG Road,Saint Mark's Road,secondary,secondary,Commercial Hub,0.0799889889320236,-1.2394585999770108e-06
EDGE_54_42966,54,42966,12.973081,77.60138,,40.0,0.4,0.44444445,0.8542274,0.5,0.41747573,0.38324526,0.47626823,0.5245073,0.49448946,0.70487356,0.4503042,0.5538754,0.40111113,0.583974,0.48960125,0.1,0.59851414,0.110699214,0.1529924,0.7015707,0.75,2,MG Road,MG Road,MG Road,Saint Mark's Road,secondary,secondary,Commercial Hub,0.08673883866962012,-1.2394585999770108e-06
EDGE_42967_42968,42967,42968,12.972903,77.601395,,40.0,0.4,0.44444445,0.8600583,0.45833334,0.41747573,0.3929291,0.47801748,0.441207,0.4464183,0.7017601,0.41512975,0.53829676,0.3661111,0.6259276,0.4898706,0.1,0.6230488,0.16440105,0.14358617,0.6963351,0.74583334,2,MG Road,MG Road,MG Road,Saint Mark's Road,tertiary,tertiary,Commercial Hub,0.10553592206093376,-1.2394585999770108e-06
EDGE_56_42969,56,42969,12.972923,77.602394,,25.0,0.32,0.2962963,0.95335275,0.5416667,0.407767,0.41531077,0.46200582,0.52200234,0.42866158,0.81494504,0.5125441,0.632883,0.32407406,0.68842304,0.48816058,0.66021055,0.5853353,0.18027078,0.117281,0.9458988,0.75416666,1,MG Road,MG Road,MG Road,State Bank Road,secondary,secondary,Commercial Hub,0.09473197315063717,-1.2394585999770108e-06
EDGE_57_42970,57,42970,12.974151,77.60305,,30.0,0.4,0.5185185,1.0,0.875,0.37864077,0.38155618,0.52,0.416,0.37025765,0.8975,0.46053702,0.4955153,0.39662963,0.62654275,0.4638587,0.900671,0.6765527,0.1726704,0.09791431,1.0,0.7875,3,MG Road,MG Road,MG Road,Museum Cross Road,unclassified,unclassified,Commercial Hub,0.1069042740003744,-1.2394585999770108e-06
EDGE_58_42971,58,42971,12.974236,77.60404,,30.0,0.44,0.4814815,0.91253644,0.9166667,0.39805827,0.37886593,0.51576096,0.38470438,0.4412867,0.84998345,0.4488842,0.4800214,0.32287037,0.678054,0.4897891,0.6492996,0.65742755,0.14977685,0.11936914,0.938918,0.7916667,2,MG Road,MG Road,MG Road,Rest House Crescent Road,residential,residential,Nightlife Hub,0.15203641253590428,-1.2394585999770108e-06
EDGE_42972_42973,42972,42973,12.975485,77.602585,,30.0,0.44,0.5555556,0.8862974,0.5,0.37864077,0.3062422,0.5078892,0.40955567,0.40011126,0.75514793,0.49553594,0.4717444,0.4058889,0.62259495,0.47532812,0.1,0.6693863,0.208792,0.15215887,0.80104715,0.75,3,MG Road,MG Road,MG Road,Museum Cross Road,unclassified,unclassified,Commercial Hub,0.10738630542190801,-1.2394585999770108e-06
EDGE_60_42974,60,42974,12.975981,77.60254,,30.0,0.44,0.4814815,0.7580175,0.41666666,0.36893204,0.2851001,0.46940523,0.3941621,0.41308916,0.67128766,0.45924404,0.49748066,0.34737036,0.6771295,0.49625295,0.2674538,0.61879784,0.13220565,0.1664223,0.7417103,0.7416667,2,MG Road,MG Road,MG Road,Museum Cross Road,unclassified,unclassified,Commercial Hub,0.1165117762804604,-1.2394585999770108e-06
EDGE_61_42975,61,42975,12.972527,77.601204,,40.0,0.4,0.37037036,0.7346939,0.33333334,0.4368932,0.4092036,0.44040817,0.42616326,0.47036874,0.59514976,0.4475488,0.56074125,0.3075926,0.6646943,0.51152086,0.13517332,0.5347276,0.07373034,0.19927236,0.5706806,0.73333335,1,MG Road,MG Road,MG Road,Saint Mark's Road,tertiary,tertiary,Commercial Hub,0.12032694534615529,-1.2394585999770108e-06
EDGE_62_42976,62,42976,12.969159,77.600464,,25.0,0.16,0.2962963,0.28862974,0.041666668,0.407767,0.517872,0.17458892,0.32943556,0.38927612,0.23134848,0.40202257,0.61469865,0.36907408,0.6016663,0.5369573,0.81705177,0.33269304,0.12922138,0.37759122,0.2443281,0.70416665,3,MG Road,MG Road,MG Road,Saint Mark's Road,tertiary,tertiary,Residential Hub,0.13158778803931898,-1.2394585999770108e-06
