intersection_node,from_edge,to_edge,bearing_in,bearing_out,turn_angle,turn_type,turn_penalty
1551,EDGE_1603_44642,EDGE_1551_44587,43.92,44.26,0.34,Straight,0.0
1231,EDGE_1609_44650,EDGE_1231_44233,43.86,44.26,0.4,Straight,0.0
1472,EDGE_1611_44652,EDGE_1472_44496,44.09,44.26,0.17,Straight,0.0
333,EDGE_1701_44747,EDGE_333_43264,44.22,44.26,0.04,Straight,0.0
1507,EDGE_44753_44754,EDGE_1507_44539,43.87,44.26,0.39,Straight,0.0
1263,EDGE_1712_44759,EDGE_1263_44267,43.94,44.26,0.32,Straight,0.0
673,EDGE_1720_44767,EDGE_43634_43635,44.07,44.26,0.19,Straight,0.0
1181,EDGE_1749_44798,EDGE_1181_44180,43.77,44.26,0.49,Straight,0.0
1370,EDGE_1757_44807,EDGE_1370_44382,44.19,44.26,0.07,Straight,0.0
325,EDGE_1772_44823,EDGE_325_43256,44.36,44.26,-0.1,Straight,0.0
340,EDGE_1773_44824,EDGE_340_43272,44.46,44.26,-0.2,Straight,0.0
329,EDGE_1794_44846,EDGE_329_43260,44.53,44.26,-0.27,Straight,0.0
1131,EDGE_1820_44874,EDGE_1131_44126,43.94,44.26,0.32,Straight,0.0
1517,EDGE_1835_44890,EDGE_1517_44550,44.22,44.26,0.04,Straight,0.0
1424,EDGE_1836_44891,EDGE_1424_44442,43.91,44.26,0.35,Straight,0.0
1544,EDGE_1841_44896,EDGE_1544_44579,43.99,44.26,0.27,Straight,0.0
1189,EDGE_1860_44916,EDGE_1189_44188,44.15,44.26,0.11,Straight,0.0
1436,EDGE_1893_44953,EDGE_1436_44456,43.75,44.26,0.51,Straight,0.0
1395,EDGE_1900_44960,EDGE_1395_44410,43.85,44.26,0.41,Straight,0.0
1397,EDGE_1903_44963,EDGE_1397_44412,44.07,44.26,0.19,Straight,0.0
403,EDGE_1922_44983,EDGE_403_43341,44.39,44.26,-0.13,Straight,0.0
337,EDGE_1952_45015,EDGE_337_43268,43.75,44.26,0.51,Straight,0.0
390,EDGE_1969_45033,EDGE_390_43326,43.71,44.26,0.55,Straight,0.0
3071,EDGE_2008_45073,EDGE_3071_46227,44.43,44.25,-0.18,Straight,0.0
3225,EDGE_2035_45105,EDGE_3225_46392,44.09,44.25,0.16,Straight,0.0
2184,EDGE_2062_45133,EDGE_45261_45262,44.8,44.25,-0.55,Straight,0.0
2150,EDGE_2188_45266,EDGE_2150_45226,43.82,44.25,0.43,Straight,0.0
2356,EDGE_2338_45428,EDGE_2356_45448,44.6,44.25,-0.35,Straight,0.0
39669,EDGE_2379_45475,EDGE_39669_85760,44.31,44.25,-0.06,Straight,0.0
2596,EDGE_2435_45538,EDGE_2596_45708,43.84,44.25,0.41,Straight,0.0
2142,EDGE_2454_45557,EDGE_2142_45218,44.28,44.25,-0.03,Straight,0.0
2986,EDGE_2469_45573,EDGE_2986_46132,44.08,44.25,0.17,Straight,0.0
2988,EDGE_2472_45576,EDGE_2988_46134,44.32,44.25,-0.07,Straight,0.0
2154,EDGE_2501_45606,EDGE_2154_45230,44.34,44.25,-0.09,Straight,0.0
2155,EDGE_2557_45666,EDGE_2155_45231,44.06,44.25,0.19,Straight,0.0
2094,EDGE_2628_45741,EDGE_2094_45167,44.39,44.25,-0.14,Straight,0.0
2976,EDGE_2726_45850,EDGE_2976_46121,44.62,44.25,-0.37,Straight,0.0
2660,EDGE_2729_45853,EDGE_2660_45780,44.56,44.25,-0.31,Straight,0.0
2539,EDGE_2733_45857,EDGE_2539_45647,44.67,44.25,-0.42,Straight,0.0
2852,EDGE_2789_45914,EDGE_2852_45980,43.92,44.25,0.33,Straight,0.0
2638,EDGE_2793_45918,EDGE_2638_45753,43.92,44.25,0.33,Straight,0.0
2601,EDGE_2860_45990,EDGE_2601_45713,44.39,44.25,-0.14,Straight,0.0
2140,EDGE_2867_45999,EDGE_2140_45216,44.62,44.25,-0.37,Straight,0.0
3069,EDGE_2925_46065,EDGE_3069_46224,44.34,44.25,-0.09,Straight,0.0
39469,EDGE_46148_46149,EDGE_39469_85549,44.3,44.25,-0.05,Straight,0.0
2148,EDGE_3041_46193,EDGE_2148_45224,44.31,44.25,-0.06,Straight,0.0
3088,EDGE_3116_46274,EDGE_3088_46244,44.59,44.25,-0.34,Straight,0.0
2655,EDGE_3182_46347,EDGE_2655_45774,43.86,44.25,0.39,Straight,0.0
3060,EDGE_3246_46413,EDGE_3060_46212,44.57,44.25,-0.32,Straight,0.0
3519,EDGE_3396_46573,EDGE_3519_46704,44.6,44.26,-0.34,Straight,0.0
3535,EDGE_3529_46715,EDGE_3535_46721,44.1,44.26,0.16,Straight,0.0
37741,EDGE_3717_46916,EDGE_37741_83658,44.28,44.26,-0.02,Straight,0.0
4197,EDGE_46995_46996,EDGE_4197_47433,44.19,44.26,0.07,Straight,0.0
3616,EDGE_3809_47016,EDGE_3616_46809,44.78,44.26,-0.52,Straight,0.0
4271,EDGE_47046_47047,EDGE_47515_47516,44.83,44.26,-0.57,Straight,0.0
4245,EDGE_3983_47208,EDGE_4245_47486,44.17,44.26,0.09,Straight,0.0
4448,EDGE_3984_47209,EDGE_47704_47705,44.49,44.26,-0.23,Straight,0.0
3498,EDGE_4013_47239,EDGE_3498_46682,44.0,44.26,0.26,Straight,0.0
4625,EDGE_4212_47450,EDGE_4625_47898,44.05,44.26,0.21,Straight,0.0
3739,EDGE_4292_47538,EDGE_46940_46941,44.01,44.26,0.25,Straight,0.0
4179,EDGE_4293_47539,EDGE_4179_47414,43.77,44.26,0.49,Straight,0.0
3854,EDGE_47560_47561,EDGE_3854_47071,44.04,44.26,0.22,Straight,0.0
3985,EDGE_4389_47642,EDGE_3985_47210,44.15,44.26,0.11,Straight,0.0
3981,EDGE_4393_47646,EDGE_3981_47206,44.37,44.26,-0.11,Straight,0.0
3799,EDGE_4404_47657,EDGE_3799_47005,44.41,44.26,-0.15,Straight,0.0
3880,EDGE_4455_47712,EDGE_3880_47098,44.61,44.26,-0.35,Straight,0.0
3863,EDGE_4472_47730,EDGE_3863_47081,43.79,44.26,0.47,Straight,0.0
3999,EDGE_47814_47815,EDGE_3999_47224,43.74,44.26,0.52,Straight,0.0
4247,EDGE_4657_47936,EDGE_4247_47488,44.14,44.26,0.12,Straight,0.0
5065,EDGE_4675_47954,EDGE_5065_48379,43.8,44.26,0.46,Straight,0.0
3771,EDGE_4728_48012,EDGE_3771_46974,44.16,44.26,0.1,Straight,0.0
3776,EDGE_4731_48015,EDGE_46979_46980,43.87,44.26,0.39,Straight,0.0
4144,EDGE_48112_48113,EDGE_4144_47376,43.93,44.26,0.33,Straight,0.0
4431,EDGE_4828_48120,EDGE_47684_47685,44.07,44.26,0.19,Straight,0.0
4396,EDGE_4852_48145,EDGE_4396_47649,44.36,44.26,-0.1,Straight,0.0
3781,EDGE_48166_48167,EDGE_3781_46986,44.32,44.26,-0.06,Straight,0.0
3930,EDGE_4877_48172,EDGE_3930_47151,44.3,44.26,-0.04,Straight,0.0
4111,EDGE_4883_48180,EDGE_4111_47342,44.2,44.26,0.06,Straight,0.0
4093,EDGE_4891_48188,EDGE_4093_47322,43.85,44.26,0.41,Straight,0.0
3808,EDGE_4907_48205,EDGE_3808_47015,44.37,44.26,-0.11,Straight,0.0
4267,EDGE_4941_48244,EDGE_4267_47510,44.48,44.26,-0.22,Straight,0.0
3849,EDGE_4944_48247,EDGE_3849_47065,44.38,44.26,-0.12,Straight,0.0
4899,EDGE_5027_48338,EDGE_4899_48196,44.35,44.26,-0.09,Straight,0.0
5310,EDGE_5046_48359,EDGE_5310_48648,44.39,44.26,-0.13,Straight,0.0
5192,EDGE_5105_48420,EDGE_5192_48517,44.12,44.26,0.14,Straight,0.0
3918,EDGE_5116_48433,EDGE_3918_47137,44.75,44.26,-0.49,Straight,0.0
4901,EDGE_5117_48434,EDGE_4901_48198,44.19,44.26,0.07,Straight,0.0
4285,EDGE_5129_48447,EDGE_4285_47530,44.37,44.26,-0.11,Straight,0.0
3724,EDGE_5159_48481,EDGE_3724_46924,44.57,44.26,-0.31,Straight,0.0
3724,EDGE_5165_48488,EDGE_3724_46924,43.72,44.26,0.54,Straight,0.0
5312,EDGE_5187_48512,EDGE_5312_48651,44.21,44.26,0.05,Straight,0.0
5204,EDGE_5212_48537,EDGE_5204_48529,43.87,44.26,0.39,Straight,0.0
3805,EDGE_5263_48597,EDGE_3805_47012,44.38,44.26,-0.12,Straight,0.0
5333,EDGE_5270_48604,EDGE_5333_48673,43.95,44.26,0.31,Straight,0.0
4914,EDGE_5271_48605,EDGE_48212_48213,43.92,44.26,0.34,Straight,0.0
4127,EDGE_5272_48606,EDGE_4127_47358,44.38,44.26,-0.12,Straight,0.0
4221,EDGE_5356_48697,EDGE_47460_47461,44.67,44.26,-0.41,Straight,0.0
4146,EDGE_5411_48754,EDGE_4146_47378,44.11,44.26,0.15,Straight,0.0
5009,EDGE_5492_48846,EDGE_5009_48319,44.6,44.26,-0.34,Straight,0.0
5558,EDGE_5494_48848,EDGE_5558_48917,44.21,44.26,0.05,Straight,0.0
5544,EDGE_5520_48877,EDGE_5544_48903,44.16,44.26,0.1,Straight,0.0
5858,EDGE_5525_48883,EDGE_49247_49248,44.58,44.26,-0.32,Straight,0.0
4813,EDGE_5531_48889,EDGE_4813_48104,44.12,44.26,0.14,Straight,0.0
4927,EDGE_5538_48896,EDGE_4927_48227,44.38,44.26,-0.12,Straight,0.0
4923,EDGE_5539_48897,EDGE_4923_48223,44.2,44.26,0.06,Straight,0.0
4599,EDGE_48899_48900,EDGE_4599_47872,44.3,44.26,-0.04,Straight,0.0
4481,EDGE_5550_48909,EDGE_4481_47740,44.62,44.26,-0.36,Straight,0.0
5860,EDGE_5580_48939,EDGE_5860_49250,44.39,44.26,-0.13,Straight,0.0
5888,EDGE_48947_48948,EDGE_5888_49280,43.81,44.26,0.45,Straight,0.0
5453,EDGE_48956_48957,EDGE_5453_48801,44.65,44.26,-0.39,Straight,0.0
4458,EDGE_5630_48996,EDGE_4458_47715,43.68,44.26,0.58,Straight,0.0
5886,EDGE_5635_49001,EDGE_5886_49278,44.47,44.26,-0.21,Straight,0.0
4937,EDGE_5760_49140,EDGE_4937_48240,44.42,44.26,-0.16,Straight,0.0
5236,EDGE_5762_49142,EDGE_5236_48564,44.08,44.26,0.18,Straight,0.0
5234,EDGE_5791_49176,EDGE_5234_48562,43.86,44.26,0.4,Straight,0.0
5859,EDGE_5836_49224,EDGE_5859_49249,43.9,44.26,0.36,Straight,0.0
4568,EDGE_5862_49252,EDGE_4568_47834,44.67,44.26,-0.41,Straight,0.0
4594,EDGE_5881_49272,EDGE_4594_47865,44.33,44.26,-0.07,Straight,0.0
5362,EDGE_49273_49274,EDGE_5362_48703,43.98,44.26,0.28,Straight,0.0
5373,EDGE_5909_49301,EDGE_5373_48714,44.07,44.26,0.19,Straight,0.0
4957,EDGE_5944_49337,EDGE_48261_48262,44.47,44.26,-0.21,Straight,0.0
5401,EDGE_5945_49338,EDGE_5401_48744,44.79,44.26,-0.53,Straight,0.0
5769,EDGE_5948_49342,EDGE_5769_49150,44.76,44.26,-0.5,Straight,0.0
4664,EDGE_6051_49458,EDGE_4664_47943,44.11,44.26,0.15,Straight,0.0
5793,EDGE_6073_49480,EDGE_5793_49178,44.2,44.26,0.06,Straight,0.0
5783,EDGE_6075_49483,EDGE_5783_49168,43.93,44.26,0.33,Straight,0.0
6649,EDGE_6077_49486,EDGE_6649_50095,43.8,44.26,0.46,Straight,0.0
4799,EDGE_6089_49498,EDGE_4799_48089,44.84,44.26,-0.58,Straight,0.0
6616,EDGE_6156_49571,EDGE_6616_50059,44.25,44.26,0.01,Straight,0.0
5836,EDGE_6170_49586,EDGE_5836_49224,44.09,43.9,-0.19,Straight,0.0
4953,EDGE_6177_49593,EDGE_4953_48256,43.87,44.26,0.39,Straight,0.0
6369,EDGE_49662_49663,EDGE_6369_49800,44.77,44.26,-0.51,Straight,0.0
6137,EDGE_6248_49672,EDGE_6137_49551,44.74,44.26,-0.48,Straight,0.0
5820,EDGE_6278_49703,EDGE_5820_49207,44.45,44.26,-0.19,Straight,0.0
5686,EDGE_6285_49710,EDGE_5686_49059,43.98,44.26,0.28,Straight,0.0
4996,EDGE_6289_49714,EDGE_4996_48304,44.21,44.26,0.05,Straight,0.0
5521,EDGE_6354_49784,EDGE_5521_48878,44.4,44.26,-0.14,Straight,0.0
6944,EDGE_6356_49786,EDGE_6944_50413,43.92,44.26,0.34,Straight,0.0
4673,EDGE_6379_49810,EDGE_4673_47952,44.29,44.26,-0.03,Straight,0.0
4688,EDGE_6394_49825,EDGE_4688_47969,44.68,44.26,-0.42,Straight,0.0
6707,EDGE_6423_49854,EDGE_6707_50159,44.19,44.26,0.07,Straight,0.0
6179,EDGE_6441_49872,EDGE_6179_49595,44.03,44.26,0.23,Straight,0.0
5664,EDGE_6450_49881,EDGE_49033_49034,43.9,44.26,0.36,Straight,0.0
5518,EDGE_6453_49884,EDGE_5518_48875,44.11,44.26,0.15,Straight,0.0
5778,EDGE_49890_49891,EDGE_5778_49162,44.15,44.26,0.11,Straight,0.0
5715,EDGE_6462_49894,EDGE_5715_49092,44.75,44.26,-0.49,Straight,0.0
5648,EDGE_6495_49930,EDGE_5648_49015,44.03,44.26,0.23,Straight,0.0
5659,EDGE_6497_49932,EDGE_5659_49027,44.59,44.26,-0.33,Straight,0.0
5835,EDGE_49942_49943,EDGE_5835_49223,44.67,44.26,-0.41,Straight,0.0
6152,EDGE_6527_49965,EDGE_6152_49566,44.23,44.26,0.03,Straight,0.0
6379,EDGE_6579_50022,EDGE_6379_49810,43.99,44.29,0.3,Straight,0.0
5954,EDGE_6642_50088,EDGE_5954_49348,44.19,44.26,0.07,Straight,0.0
4946,EDGE_6658_50105,EDGE_4946_48249,44.61,44.26,-0.35,Straight,0.0
4947,EDGE_6659_50106,EDGE_4947_48250,44.37,44.26,-0.11,Straight,0.0
6138,EDGE_6670_50119,EDGE_6138_49552,43.88,44.26,0.38,Straight,0.0
4817,EDGE_6718_50170,EDGE_4817_48108,44.32,44.26,-0.06,Straight,0.0
4891,EDGE_6720_50172,EDGE_4891_48188,43.93,43.85,-0.08,Straight,0.0
4887,EDGE_6721_50173,EDGE_4887_48184,44.28,44.26,-0.02,Straight,0.0
5250,EDGE_6731_50184,EDGE_5250_48582,43.94,44.26,0.32,Straight,0.0
4793,EDGE_50209_50210,EDGE_4793_48082,44.28,44.26,-0.02,Straight,0.0
5287,EDGE_6755_50211,EDGE_5287_48621,44.32,44.26,-0.06,Straight,0.0
4677,EDGE_6764_50220,EDGE_4677_47957,44.01,44.26,0.25,Straight,0.0
4866,EDGE_6823_50283,EDGE_4866_48160,44.42,44.26,-0.16,Straight,0.0
6088,EDGE_6845_50307,EDGE_6088_49497,44.05,44.26,0.21,Straight,0.0
6058,EDGE_6909_50377,EDGE_6058_49465,43.71,44.26,0.55,Straight,0.0
7856,EDGE_7234_50721,EDGE_7856_51391,43.78,44.26,0.48,Straight,0.0
7371,EDGE_7291_50783,EDGE_50870_50871,44.1,44.26,0.16,Straight,0.0
7196,EDGE_7329_50822,EDGE_7196_50681,44.31,44.26,-0.05,Straight,0.0
7387,EDGE_7336_50830,EDGE_7387_50889,43.77,44.26,0.49,Straight,0.0
7860,EDGE_7343_50839,EDGE_7860_51395,44.08,44.26,0.18,Straight,0.0
7027,EDGE_7481_50990,EDGE_7027_50500,44.2,44.26,0.06,Straight,0.0
7099,EDGE_7554_51069,EDGE_7099_50577,44.35,44.26,-0.09,Straight,0.0
7072,EDGE_7592_51107,EDGE_7072_50548,44.51,44.26,-0.25,Straight,0.0
7182,EDGE_7600_51116,EDGE_7182_50665,44.59,44.26,-0.33,Straight,0.0
7487,EDGE_7621_51140,EDGE_7487_50996,43.97,44.26,0.29,Straight,0.0
7063,EDGE_7680_51203,EDGE_7063_50539,44.54,44.26,-0.28,Straight,0.0
7633,EDGE_7702_51226,EDGE_7633_51152,44.5,44.26,-0.24,Straight,0.0
8979,EDGE_7846_51381,EDGE_8979_52618,44.41,44.26,-0.15,Straight,0.0
7839,EDGE_7912_51456,EDGE_7839_51374,44.07,44.26,0.19,Straight,0.0
7067,EDGE_7952_51503,EDGE_7067_50543,43.79,44.26,0.47,Straight,0.0
7880,EDGE_7995_51551,EDGE_7880_51420,44.55,44.26,-0.29,Straight,0.0
7590,EDGE_51566_51567,EDGE_7590_51105,44.6,44.26,-0.34,Straight,0.0
7714,EDGE_51629_51630,EDGE_7714_51239,44.31,44.26,-0.05,Straight,0.0
8123,EDGE_8092_51659,EDGE_8123_51691,44.19,44.26,0.07,Straight,0.0
8834,EDGE_8115_51682,EDGE_8834_52460,44.49,44.26,-0.23,Straight,0.0
9003,EDGE_8189_51763,EDGE_52645_52646,44.54,44.26,-0.28,Straight,0.0
9187,EDGE_8275_51858,EDGE_52847_52848,43.93,44.26,0.33,Straight,0.0
9351,EDGE_8310_51895,EDGE_9351_53027,44.65,44.26,-0.39,Straight,0.0
8779,EDGE_8342_51931,EDGE_8779_52401,44.46,44.26,-0.2,Straight,0.0
8778,EDGE_8344_51933,EDGE_8778_52400,44.33,44.26,-0.07,Straight,0.0
9344,EDGE_8438_52034,EDGE_9344_53019,44.25,44.26,0.01,Straight,0.0
9136,EDGE_8569_52177,EDGE_9136_52790,44.17,44.26,0.09,Straight,0.0
9107,EDGE_8572_52180,EDGE_9107_52761,44.17,44.26,0.09,Straight,0.0
8511,EDGE_8633_52248,EDGE_52115_52116,44.1,44.26,0.16,Straight,0.0
8651,EDGE_52275_52276,EDGE_8651_52266,43.93,44.26,0.33,Straight,0.0
8513,EDGE_8661_52278,EDGE_8513_52118,43.81,44.26,0.45,Straight,0.0
8554,EDGE_8723_52343,EDGE_8554_52162,44.42,44.26,-0.16,Straight,0.0
9085,EDGE_8731_52352,EDGE_9085_52738,43.84,44.26,0.42,Straight,0.0
9288,EDGE_8799_52422,EDGE_9288_52959,44.73,44.26,-0.47,Straight,0.0
8731,EDGE_52473_52474,EDGE_8731_52352,44.27,43.84,-0.43,Straight,0.0
8315,EDGE_8922_52559,EDGE_8315_51901,44.05,44.26,0.21,Straight,0.0
9000,EDGE_8938_52576,EDGE_9000_52642,44.51,44.26,-0.25,Straight,0.0
8521,EDGE_8966_52604,EDGE_8521_52126,43.92,44.26,0.34,Straight,0.0
8608,EDGE_52639_52640,EDGE_8608_52220,43.75,44.26,0.51,Straight,0.0
10236,EDGE_9022_52667,EDGE_10236_53984,44.74,44.26,-0.48,Straight,0.0
8967,EDGE_9089_52742,EDGE_8967_52605,44.04,44.26,0.22,Straight,0.0
8609,EDGE_9101_52755,EDGE_8609_52221,44.1,44.26,0.16,Straight,0.0
8122,EDGE_9150_52807,EDGE_51689_51690,44.29,44.26,-0.03,Straight,0.0
8555,EDGE_9152_52809,EDGE_8555_52163,44.26,44.26,0.0,Straight,0.0
8639,EDGE_9153_52810,EDGE_8639_52254,44.32,44.26,-0.06,Straight,0.0
8402,EDGE_9166_52825,EDGE_8402_51998,44.0,44.26,0.26,Straight,0.0
8964,EDGE_9266_52933,EDGE_8964_52602,44.26,44.26,0.0,Straight,0.0
8366,EDGE_9337_53011,EDGE_8366_51958,43.98,44.26,0.28,Straight,0.0
8823,EDGE_9365_53042,EDGE_8823_52447,44.07,44.26,0.19,Straight,0.0
13430,EDGE_9398_53077,EDGE_13430_57419,44.03,44.25,0.22,Straight,0.0
13450,EDGE_9477_53167,EDGE_13450_57439,43.98,44.25,0.27,Straight,0.0
13130,EDGE_9550_53246,EDGE_13130_57101,44.24,44.25,0.01,Straight,0.0
13027,EDGE_9568_53268,EDGE_13027_56987,44.43,44.25,-0.18,Straight,0.0
13133,EDGE_9570_53270,EDGE_13133_57105,44.1,44.25,0.15,Straight,0.0
10515,EDGE_9652_53360,EDGE_10515_54291,44.7,44.25,-0.45,Straight,0.0
10518,EDGE_9664_53372,EDGE_10518_54294,44.59,44.25,-0.34,Straight,0.0
10618,EDGE_9682_53392,EDGE_10618_54399,44.01,44.25,0.24,Straight,0.0
12864,EDGE_9690_53400,EDGE_12864_56806,43.79,44.25,0.46,Straight,0.0
12891,EDGE_9692_53402,EDGE_12891_56834,44.67,44.25,-0.42,Straight,0.0
10412,EDGE_9729_53443,EDGE_10412_54176,44.8,44.25,-0.55,Straight,0.0
9742,EDGE_9744_53458,EDGE_9742_53456,44.39,44.25,-0.14,Straight,0.0
13567,EDGE_9778_53495,EDGE_13567_57565,44.76,44.25,-0.51,Straight,0.0
12939,EDGE_9788_53505,EDGE_12939_56886,44.81,44.25,-0.56,Straight,0.0
10739,EDGE_9808_53527,EDGE_10739_54528,43.9,44.25,0.35,Straight,0.0
14329,EDGE_9823_53542,EDGE_14329_58386,44.15,44.25,0.1,Straight,0.0
36651,EDGE_9841_53560,EDGE_36651_82474,44.06,44.25,0.19,Straight,0.0
10163,EDGE_9969_53699,EDGE_10163_53904,44.75,44.25,-0.5,Straight,0.0
10209,EDGE_9972_53704,EDGE_10209_53954,44.45,44.25,-0.2,Straight,0.0
10441,EDGE_9974_53706,EDGE_10441_54209,44.4,44.25,-0.15,Straight,0.0
10157,EDGE_9990_53723,EDGE_10157_53898,44.39,44.25,-0.14,Straight,0.0
10614,EDGE_9991_53724,EDGE_10614_54395,44.11,44.25,0.14,Straight,0.0
10796,EDGE_9993_53726,EDGE_10796_54586,43.72,44.25,0.53,Straight,0.0
9779,EDGE_10004_53737,EDGE_9779_53496,43.68,44.25,0.57,Straight,0.0
10599,EDGE_10039_53773,EDGE_10599_54380,44.22,44.44,0.22,Straight,0.0
10844,EDGE_10044_53779,EDGE_10844_54637,44.72,44.25,-0.47,Straight,0.0
9896,EDGE_10057_53792,EDGE_9896_53620,44.04,44.25,0.21,Straight,0.0
10093,EDGE_10081_53817,EDGE_10093_53829,44.42,44.25,-0.17,Straight,0.0
10560,EDGE_10099_53835,EDGE_10560_54340,43.81,44.25,0.44,Straight,0.0
10603,EDGE_10128_53867,EDGE_10603_54384,44.18,43.7,-0.48,Straight,0.0
13446,EDGE_10180_53921,EDGE_13446_57435,43.9,44.25,0.35,Straight,0.0
10879,EDGE_10201_53946,EDGE_10879_54675,44.47,44.25,-0.22,Straight,0.0
9764,EDGE_10203_53948,EDGE_9764_53480,43.99,44.25,0.26,Straight,0.0
12854,EDGE_10215_53961,EDGE_12854_56796,43.73,44.25,0.52,Straight,0.0
12865,EDGE_10217_53963,EDGE_12865_56807,44.81,44.25,-0.56,Straight,0.0
12885,EDGE_10262_54013,EDGE_56827_56828,44.75,44.25,-0.5,Straight,0.0
10429,EDGE_10283_54038,EDGE_10429_54195,44.41,44.25,-0.16,Straight,0.0
14123,EDGE_10342_54104,EDGE_14123_58167,43.81,44.25,0.44,Straight,0.0
10348,EDGE_10402_54165,EDGE_10348_54110,43.91,44.25,0.34,Straight,0.0
9950,EDGE_10415_54180,EDGE_9950_53679,43.62,44.25,0.63,Straight,0.0
36387,EDGE_10423_54189,EDGE_36387_82186,44.14,44.25,0.11,Straight,0.0
10466,EDGE_10459_54229,EDGE_10466_54236,44.16,44.25,0.09,Straight,0.0
10017,EDGE_10487_54258,EDGE_10017_53751,44.66,44.25,-0.41,Straight,0.0
9921,EDGE_10521_54297,EDGE_9921_53647,44.35,44.25,-0.1,Straight,0.0
10266,EDGE_10535_54313,EDGE_54018_54019,44.74,44.25,-0.49,Straight,0.0
10583,EDGE_10541_54320,EDGE_10583_54364,43.69,44.25,0.56,Straight,0.0
10571,EDGE_10545_54324,EDGE_10571_54352,43.97,44.25,0.28,Straight,0.0
10098,EDGE_10551_54330,EDGE_10098_53834,43.91,44.25,0.34,Straight,0.0
9809,EDGE_10568_54349,EDGE_9809_53528,44.55,44.25,-0.3,Straight,0.0
10461,EDGE_10599_54380,EDGE_10461_54231,44.44,44.25,-0.19,Straight,0.0
10443,EDGE_10603_54384,EDGE_54211_54212,43.7,44.25,0.55,Straight,0.0
10184,EDGE_10610_54391,EDGE_10184_53926,44.41,44.25,-0.16,Straight,0.0
10220,EDGE_10616_54397,EDGE_53966_53967,44.44,44.25,-0.19,Straight,0.0
10302,EDGE_10626_54409,EDGE_10302_54060,43.84,44.25,0.41,Straight,0.0
10026,EDGE_10666_54450,EDGE_10026_53760,44.49,44.25,-0.24,Straight,0.0
10499,EDGE_10765_54556,EDGE_10499_54272,44.01,44.25,0.24,Straight,0.0
13839,EDGE_10768_13839,EDGE_13839_57863,44.28,44.25,-0.03,Straight,0.0
14204,EDGE_10772_54562,EDGE_14204_58257,44.17,44.25,0.08,Straight,0.0
