zone,direction,lat,lng,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,flood_risk,crime_score,event_frequency,poi_density,adjacency_count,lighting_score,cctv_density_estimate,police_station_distance,activity_score,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,congestion_score,travel_time_estimate,weather_exposure_score,time_risk,score_crime,score_lighting,score_activity,score_event,score_road,score_infra,score_cctv,score_police,score_poi,micro_risk,meso_risk,macro_risk,behavioural_adj,poi_interaction,time_multiplier,time_context,final_risk_score,contextual_risk,confidence_score,uncertainty_level,risk_band
NORTH BANGALORE,Bi-directional,13.034187,77.59416,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.42,0.38,0.623,0.241,0.099,0.143,0.418,0.189,0.34,2,0.3397,0.2863,0.4829,0.194,0.7008,0.3005,0.8728,0.5634,0.5519,14.11,0.4115,0.459,0.5225,0.9905,0.194,0.1026,0.3306,0.2992,0.2863,0.4829,0.1668,0.6009,0.5537,0.6131,0.18,-0.0063,1.0951,late_night,66.04,83.74,0.6709,0.4121,High
NORTH BANGALORE,Bi-directional,13.040295,77.593094,Hebbal,Hebbal,1st Main Road,residential,residential,none,7.5m,30.0,0.29,0.61,0.524,0.235,0.244,0.212,0.408,0.093,0.359,8,0.3686,0.3065,0.3238,0.1631,0.6425,0.6083,0.7202,0.5241,0.5869,12.53,0.3833,0.387,0.53,0.9471,0.1631,0.0542,0.3064,0.3575,0.3065,0.3238,0.1364,0.5516,0.5724,0.6131,0.18,-0.0202,1.0951,late_night,54.15,79.48,0.6767,0.4121,Moderate
NORTH BANGALORE,Bi-directional,13.034528,77.597626,Hebbal,Hebbal,3rd Cross Road,residential,residential,none,7.5m,30.0,0.6,0.57,0.565,0.211,0.086,0.16,0.394,0.198,0.357,8,0.3758,0.3059,0.4094,0.1822,0.6596,0.6442,0.5061,0.4498,0.6221,12.24,0.3779,0.456,0.5474,0.9363,0.1822,0.1095,0.3134,0.3404,0.3059,0.4094,0.1827,0.5458,0.5582,0.6131,0.18,-0.0165,1.0951,late_night,62.67,79.12,0.6772,0.4121,High
NORTH BANGALORE,Bi-directional,13.039964,77.597824,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.54,0.21,0.59,0.192,0.126,0.219,0.378,0.085,0.344,8,0.3799,0.3149,0.5303,0.1789,0.7169,0.5597,0.8131,0.5111,0.4809,11.45,0.3918,0.413,0.4653,0.9301,0.1789,0.0565,0.3149,0.2831,0.3149,0.5303,0.1436,0.5679,0.5541,0.6131,0.18,-0.0125,1.0951,late_night,61.92,80.89,0.6748,0.4121,High
NORTH BANGALORE,Bi-directional,13.036283,77.59755,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.26,0.69,0.606,0.235,0.034,0.153,0.349,0.089,0.39,6,0.3549,0.337,0.3139,0.2006,0.6827,0.565,0.6281,0.4059,0.582,10.56,0.3627,0.501,0.3447,0.9676,0.2006,0.0753,0.3204,0.3173,0.337,0.3139,0.2249,0.5123,0.5541,0.6131,0.0,-0.0281,1.0951,late_night,20.79,55.84,0.6806,0.4121,Low
NORTH BANGALORE,Bi-directional,13.034587,77.5971,Hebbal,Hebbal,3rd Cross Road,residential,residential,none,7.5m,30.0,0.29,0.23,0.533,0.229,0.336,0.262,0.365,0.09,0.331,6,0.3406,0.3529,0.3624,0.1764,0.6649,0.4416,0.6859,0.4714,0.449,12.99,0.4295,0.475,0.4405,0.9891,0.1764,0.0688,0.3221,0.3351,0.3529,0.3624,0.1864,0.5421,0.5582,0.6131,0.0,-0.0182,1.0951,late_night,33.29,58.98,0.6806,0.4121,Low
NORTH BANGALORE,Bi-directional,13.037988,77.59305,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.19,0.5,0.623,0.243,0.361,0.288,0.452,0.115,0.349,6,0.3392,0.2954,0.619,0.1918,0.6823,0.5256,0.8291,0.5508,0.5539,11.99,0.4369,0.562,0.5235,0.9911,0.1918,0.0717,0.3234,0.3177,0.2954,0.619,0.1557,0.6105,0.5522,0.6131,0.18,-0.0089,1.0951,late_night,75.69,84.04,0.6705,0.4121,High
NORTH BANGALORE,Bi-directional,13.032534,77.59527,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.42,0.68,0.596,0.238,0.223,0.208,0.392,0.06,0.306,6,0.3206,0.3096,0.3325,0.1871,0.6387,0.5741,0.5136,0.5173,0.5881,13.45,0.3972,0.358,0.417,1.0,0.1871,0.0455,0.3231,0.3613,0.3096,0.3325,0.143,0.5234,0.5537,0.6131,0.18,-0.0054,1.0951,late_night,72.64,78.75,0.6001,0.5286,High
NORTH BANGALORE,Bi-directional,13.035517,77.596146,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.52,0.54,0.518,0.208,0.242,0.136,0.41,0.185,0.358,6,0.3856,0.3047,0.3874,0.1729,0.6796,0.5209,0.6266,0.4598,0.591,14.09,0.4066,0.496,0.5218,0.9217,0.1729,0.116,0.3219,0.3204,0.3047,0.3874,0.2282,0.5489,0.5582,0.6131,0.18,-0.023,1.0951,late_night,64.97,78.62,0.6779,0.4121,High
NORTH BANGALORE,Bi-directional,13.039777,77.59443,Hebbal,Hebbal,Vishwanatha Nagenhalli Main Road,tertiary,tertiary,none,7.5m,30.0,0.25,0.43,0.606,0.282,0.102,0.265,0.202,0.181,0.489,8,0.4017,0.3526,0.2729,0.1908,0.731,0.5885,0.7845,0.4161,0.5272,13.53,0.4987,0.239,0.0832,0.8974,0.1908,0.0971,0.2979,0.269,0.3526,0.2729,0.1878,0.4548,0.5522,0.6131,0.0,-0.015,1.0951,late_night,21.05,53.43,0.6806,0.4121,Low
NORTH BANGALORE,Bi-directional,13.038667,77.590805,Hebbal,Hebbal,3rd Main Road,residential,residential,none,7.5m,30.0,0.56,0.57,0.603,0.224,0.196,0.242,0.305,0.062,0.397,6,0.3658,0.2732,0.5084,0.1816,0.7082,0.5195,0.8254,0.5877,0.6399,15.36,0.4322,0.427,0.4814,0.9513,0.1816,0.0372,0.3196,0.2918,0.2732,0.5084,0.1425,0.5791,0.5763,0.6131,0.18,-0.012,1.0951,late_night,66.3,82.29,0.6729,0.4121,High
NORTH BANGALORE,Bi-directional,13.031663,77.59362,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.15,0.67,0.613,0.23,0.412,0.189,0.396,0.075,0.316,8,0.3247,0.3013,0.4545,0.1881,0.6652,0.5939,0.4983,0.5106,0.5615,11.52,0.4126,0.503,0.5328,1.0,0.1881,0.0466,0.3224,0.3348,0.3013,0.4545,0.1535,0.558,0.5285,0.6131,0.18,-0.003,1.0951,late_night,58.24,80.59,0.481,0.6857,Moderate
NORTH BANGALORE,Bi-directional,13.032209,77.59464,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.54,0.35,0.551,0.215,0.099,0.159,0.4,0.151,0.299,6,0.3786,0.3189,0.5977,0.1721,0.5926,0.5032,0.5435,0.497,0.5366,12.0,0.393,0.547,0.4623,0.932,0.1721,0.08,0.3224,0.4074,0.3189,0.5977,0.1356,0.5547,0.5537,0.6131,0.18,-0.0042,1.0951,late_night,65.03,80.93,0.4806,0.6857,High
NORTH BANGALORE,Bi-directional,13.039244,77.59833,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.5,0.34,0.531,0.245,0.189,0.228,0.411,0.09,0.389,6,0.3827,0.3023,0.5459,0.17,0.7177,0.4911,0.8709,0.5411,0.5346,13.42,0.4116,0.498,0.5834,0.926,0.17,0.0605,0.3101,0.2823,0.3023,0.5459,0.1623,0.5982,0.5541,0.6131,0.18,-0.0113,1.0951,late_night,65.96,83.02,0.6719,0.4121,High
NORTH BANGALORE,Bi-directional,13.041112,77.59068,Hebbal,Hebbal,Vishwanatha Nagenhalli Main Road,tertiary,tertiary,none,7.5m,30.0,0.26,0.52,0.632,0.24,0.286,0.051,0.333,0.175,0.477,5,0.4049,0.2993,0.4141,0.1896,0.6852,0.4957,0.847,0.5233,0.5741,10.48,0.406,0.314,0.4898,0.8927,0.1896,0.0783,0.3001,0.3148,0.2993,0.4141,0.127,0.558,0.5129,0.6131,0.18,-0.0224,1.0951,late_night,44.45,78.04,0.6787,0.4121,Moderate
NORTH BANGALORE,Bi-directional,13.031265,77.59866,Hebbal,Hebbal,,tertiary,tertiary,none,7.5m,30.0,0.13,0.65,0.66,0.241,0.467,0.287,0.348,0.177,0.606,6,0.378,0.3355,0.5698,0.204,0.5186,0.5867,0.4926,0.4495,0.5649,11.6,0.4615,0.497,0.3449,0.933,0.204,0.0875,0.3159,0.4814,0.3355,0.5698,0.1964,0.5305,0.5417,0.6131,0.0,-0.0039,1.0951,late_night,22.43,59.34,0.4864,0.6857,Low
NORTH BANGALORE,Bi-directional,13.032653,77.59645,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.29,0.43,0.596,0.207,0.128,0.097,0.389,0.104,0.435,2,0.3487,0.318,0.3575,0.1853,0.551,0.3864,0.5934,0.4668,0.5325,12.48,0.3555,0.452,0.3698,0.9769,0.1853,0.064,0.3191,0.449,0.318,0.3575,0.1656,0.5263,0.5582,0.6131,0.18,-0.0068,1.0951,late_night,70.1,78.89,0.4834,0.6857,High
NORTH BANGALORE,Bi-directional,13.03552,77.59582,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.16,0.48,0.534,0.245,0.026,0.104,0.387,0.101,0.363,6,0.3216,0.3136,0.2891,0.1791,0.6798,0.5269,0.6611,0.5258,0.4986,10.38,0.3783,0.449,0.4996,1.0,0.1791,0.0824,0.3124,0.3202,0.3136,0.2891,0.2283,0.5498,0.5537,0.6131,0.18,-0.0195,1.0951,late_night,65.65,78.93,0.6775,0.4121,High
NORTH BANGALORE,Bi-directional,13.031644,77.59643,Hebbal,Hebbal,10th Main Road,residential,residential,none,7.5m,30.0,0.21,0.42,0.618,0.24,0.283,0.117,0.341,0.071,0.402,8,0.3194,0.2956,0.4852,0.1925,0.5304,0.5581,0.4564,0.4165,0.5033,12.95,0.3679,0.44,0.421,1.0,0.1925,0.0476,0.3164,0.4696,0.2956,0.4852,0.1481,0.5445,0.5417,0.6131,0.18,-0.0046,1.0951,late_night,66.81,79.89,0.482,0.6857,High
NORTH BANGALORE,Bi-directional,13.0318,77.59656,Hebbal,Hebbal,4th Cross Road,residential,residential,none,7.5m,30.0,0.31,0.43,0.543,0.209,0.45,0.233,0.407,0.148,0.374,8,0.3569,0.289,0.4095,0.1702,0.5423,0.6205,0.4831,0.4743,0.5451,12.94,0.4108,0.417,0.4409,0.9646,0.1702,0.0787,0.3184,0.4577,0.289,0.4095,0.1455,0.5348,0.5417,0.6131,0.18,-0.0049,1.0951,late_night,62.32,79.22,0.4829,0.6857,High
NORTH BANGALORE,Bi-directional,13.035337,77.59737,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.21,0.25,0.62,0.201,0.234,0.103,0.488,0.183,0.379,6,0.3781,0.344,0.164,0.2,0.6327,0.4588,0.6752,0.4873,0.5061,11.15,0.4037,0.415,0.6669,0.9329,0.2,0.1106,0.3144,0.3673,0.344,0.164,0.2085,0.5532,0.5582,0.6131,0.18,-0.026,1.0951,late_night,49.77,78.57,0.678,0.4121,Moderate
NORTH BANGALORE,Bi-directional,13.038072,77.5989,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.38,0.38,0.636,0.193,0.008,0.122,0.342,0.14,0.38,2,0.3814,0.3022,0.3685,0.1943,0.7194,0.3098,0.9853,0.5468,0.5388,12.35,0.3842,0.446,0.3982,0.9279,0.1943,0.0818,0.3169,0.2806,0.3022,0.3685,0.1725,0.5583,0.5541,0.6131,0.18,-0.0114,1.0951,late_night,55.86,80.39,0.6755,0.4121,Moderate
NORTH BANGALORE,Bi-directional,13.04358,77.59053,Hebbal,Hebbal,Srinagar - Kanyakumari Highway,trunk,trunk,none,7.5m,60.0,0.57,0.42,0.51,0.228,0.399,0.1,0.132,0.13,0.451,3,0.4527,0.3649,0.4429,0.1548,0.8272,0.5528,0.7932,0.4221,0.5342,11.45,0.4903,0.202,0.0518,0.821,0.1548,0.0566,0.2864,0.1728,0.3649,0.4429,0.107,0.4404,0.5129,0.6131,0.0,-0.0277,1.0951,late_night,18.86,50.01,0.6205,0.5031,Very Low
NORTH BANGALORE,Bi-directional,13.032946,77.59375,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.53,0.44,0.635,0.228,0.267,0.15,0.386,0.101,0.324,6,0.351,0.3108,0.5235,0.1934,0.6945,0.5174,0.6051,0.4959,0.5979,12.49,0.3934,0.483,0.5148,0.9735,0.1934,0.0606,0.3099,0.3055,0.3108,0.5235,0.143,0.5659,0.5537,0.6131,0.18,-0.0037,1.0951,late_night,85.71,81.72,0.596,0.5286,Critical
NORTH BANGALORE,Bi-directional,13.037862,77.596214,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.39,0.28,0.606,0.239,0.066,0.173,0.415,0.179,0.341,6,0.3515,0.3163,0.2703,0.1937,0.7096,0.4845,0.789,0.5175,0.4798,11.45,0.4028,0.44,0.5152,0.9728,0.1937,0.1225,0.3136,0.2904,0.3163,0.2703,0.2447,0.5597,0.5541,0.6131,0.18,-0.0133,1.0951,late_night,70.44,80.28,0.6756,0.4121,High
NORTH BANGALORE,Bi-directional,13.040799,77.59614,Hebbal,Hebbal,6th Cross Road,residential,residential,none,7.5m,30.0,0.32,0.38,0.631,0.239,0.493,0.091,0.498,0.172,0.42,2,0.3266,0.2877,0.4624,0.1925,0.6966,0.3293,0.9917,0.5569,0.5372,11.84,0.371,0.524,0.5121,1.0,0.1925,0.089,0.3374,0.3034,0.2877,0.4624,0.1616,0.6103,0.5982,0.6131,0.18,-0.0171,1.0951,late_night,52.49,84.39,0.67,0.4121,Moderate
NORTH BANGALORE,Bi-directional,13.032123,77.598854,Hebbal,Hebbal,4th Cross Road,residential,residential,none,7.5m,30.0,0.18,0.4,0.556,0.248,0.259,0.179,0.356,0.197,0.378,6,0.3189,0.3375,0.5407,0.1771,0.5074,0.4967,0.6565,0.5103,0.4536,12.08,0.4082,0.468,0.3455,1.0,0.1771,0.0963,0.3231,0.4926,0.3375,0.5407,0.1429,0.5559,0.5582,0.6131,0.18,-0.0048,1.0951,late_night,83.21,81.06,0.4804,0.6857,Critical
NORTH BANGALORE,Bi-directional,13.040913,77.59495,Hebbal,Hebbal,1st Main Road,residential,residential,none,7.5m,30.0,0.22,0.23,0.628,0.219,0.228,0.131,0.318,0.17,0.361,6,0.3353,0.2924,0.5058,0.1892,0.6509,0.487,0.8816,0.5314,0.4831,10.18,0.3621,0.495,0.3974,0.9971,0.1892,0.0867,0.3234,0.3491,0.2924,0.5058,0.1433,0.5826,0.5724,0.6131,0.18,-0.0196,1.0951,late_night,64.42,81.59,0.6739,0.4121,High
NORTH BANGALORE,Bi-directional,13.032118,77.599075,Hebbal,Hebbal,4th Cross Road,residential,residential,none,7.5m,30.0,0.37,0.46,0.574,0.247,0.011,0.26,0.457,0.076,0.347,4,0.3227,0.3181,0.4613,0.1815,0.493,0.4497,0.6392,0.51,0.5705,15.16,0.424,0.477,0.5839,1.0,0.1815,0.0475,0.3311,0.507,0.3181,0.4613,0.1372,0.5891,0.5582,0.6131,0.18,-0.0046,1.0951,late_night,59.26,83.27,0.4774,0.6857,Moderate
NORTH BANGALORE,Bi-directional,13.03802,77.591385,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.39,0.57,0.534,0.221,0.125,0.153,0.45,0.088,0.411,2,0.3616,0.2944,0.5245,0.1642,0.6872,0.3859,0.9396,0.5653,0.5323,14.15,0.4036,0.457,0.6414,0.9576,0.1642,0.0508,0.3341,0.3128,0.2944,0.5245,0.1577,0.6228,0.5763,0.6131,0.18,-0.0097,1.0951,late_night,63.36,85.42,0.6686,0.4121,High
NORTH BANGALORE,Bi-directional,13.034755,77.59435,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.58,0.44,0.646,0.239,0.179,0.147,0.399,0.178,0.329,6,0.3549,0.2995,0.246,0.2011,0.7222,0.4649,0.655,0.478,0.5906,12.14,0.3913,0.38,0.4201,0.9677,0.2011,0.1025,0.3134,0.2778,0.2995,0.246,0.1785,0.523,0.5537,0.6131,0.0,-0.008,1.0951,late_night,24.31,58.72,0.6806,0.4121,Low
NORTH BANGALORE,Bi-directional,13.032663,77.59828,Hebbal,Hebbal,2nd Cross Road,residential,residential,none,7.5m,30.0,0.46,0.23,0.64,0.228,0.357,0.227,0.385,0.126,0.346,6,0.3772,0.3248,0.5765,0.1983,0.5312,0.4985,0.5674,0.4796,0.5305,14.8,0.4424,0.478,0.5891,0.9342,0.1983,0.0703,0.3194,0.4688,0.3248,0.5765,0.1461,0.5819,0.5582,0.6131,0.18,-0.0064,1.0951,late_night,60.29,82.6,0.4783,0.6857,High
NORTH BANGALORE,Bi-directional,13.034428,77.593605,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.57,0.69,0.525,0.253,0.48,0.078,0.374,0.171,0.272,6,0.3663,0.2789,0.4628,0.1688,0.7211,0.5443,0.7099,0.511,0.6281,15.77,0.357,0.459,0.4896,0.9506,0.1688,0.0941,0.3204,0.2789,0.2789,0.4628,0.152,0.564,0.5537,0.6131,0.18,-0.0053,1.0951,late_night,67.25,81.42,0.6741,0.4121,High
NORTH BANGALORE,Bi-directional,13.032837,77.59053,Hebbal,Hebbal,2nd Main Road,residential,residential,none,7.5m,20.0,0.28,0.42,0.571,0.216,0.251,0.159,0.489,0.077,0.285,6,0.3285,0.3162,0.4123,0.1721,0.6676,0.5534,0.7499,0.5443,0.5144,13.26,0.3921,0.453,0.5931,1.0,0.1721,0.0422,0.3284,0.3324,0.3162,0.4123,0.1377,0.5866,0.5751,0.6131,0.18,-0.0026,1.0951,late_night,75.72,83.79,0.5932,0.5286,High
NORTH BANGALORE,Bi-directional,13.036374,77.59821,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.12,0.28,0.645,0.238,0.363,0.197,0.398,0.137,0.39,6,0.3712,0.3347,0.4187,0.2073,0.6907,0.4761,0.6814,0.4869,0.4718,10.84,0.3908,0.493,0.5195,0.9432,0.2073,0.0879,0.3239,0.3093,0.3347,0.4187,0.2038,0.5579,0.5541,0.6131,0.0,-0.0202,1.0951,late_night,25.3,59.69,0.6806,0.4121,Low
NORTH BANGALORE,Bi-directional,13.032159,77.59418,Hebbal,Hebbal,5th Main Road,residential,residential,none,7.5m,30.0,0.47,0.29,0.584,0.232,0.263,0.104,0.451,0.167,0.335,8,0.374,0.2794,0.4159,0.1817,0.6656,0.5411,0.6034,0.5132,0.4956,10.4,0.4081,0.453,0.4805,0.939,0.1817,0.0855,0.3239,0.3344,0.2794,0.4159,0.1633,0.5468,0.5537,0.6131,0.18,-0.0037,1.0951,late_night,68.8,80.47,0.4812,0.6857,High
NORTH BANGALORE,Bi-directional,13.040035,77.594345,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.59,0.29,0.577,0.259,0.135,0.239,0.436,0.056,0.306,2,0.3435,0.2799,0.304,0.1806,0.7208,0.2938,1.0,0.6268,0.5621,14.74,0.3999,0.405,0.6512,0.9848,0.1806,0.0451,0.3149,0.2792,0.2799,0.304,0.1517,0.6093,0.5724,0.6131,0.18,-0.0165,1.0951,late_night,75.84,83.69,0.671,0.4121,High
NORTH BANGALORE,Bi-directional,13.036274,77.59151,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.45,0.51,0.535,0.196,0.499,0.181,0.381,0.144,0.358,8,0.3383,0.3036,0.3352,0.1627,0.6935,0.6253,0.7857,0.497,0.5066,12.07,0.3958,0.37,0.3975,0.9926,0.1627,0.0741,0.3186,0.3065,0.3036,0.3352,0.1621,0.5454,0.5763,0.6131,0.18,-0.0053,1.0951,late_night,62.98,80.82,0.6749,0.4121,High
NORTH BANGALORE,Bi-directional,13.035393,77.59787,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.24,0.2,0.566,0.232,0.157,0.091,0.404,0.176,0.397,6,0.3703,0.308,0.2856,0.1873,0.6635,0.4281,0.6886,0.4995,0.4463,10.72,0.3751,0.408,0.4132,0.9446,0.1873,0.1046,0.3109,0.3365,0.308,0.2856,0.2016,0.5271,0.5582,0.6131,0.18,-0.0223,1.0951,late_night,57.62,77.26,0.6798,0.4121,Moderate
NORTH BANGALORE,Bi-directional,13.032923,77.59455,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.49,0.2,0.577,0.207,0.339,0.213,0.458,0.187,0.317,6,0.3382,0.2954,0.4686,0.1773,0.6901,0.4952,0.562,0.4959,0.5081,12.44,0.433,0.527,0.4496,0.9926,0.1773,0.0968,0.3139,0.3099,0.2954,0.4686,0.1475,0.5504,0.5537,0.6131,0.18,-0.0047,1.0951,late_night,48.31,80.59,0.5976,0.5286,Moderate
NORTH BANGALORE,Bi-directional,13.03826,77.58996,Hebbal,Hebbal,,residential,residential,none,7.5m,30.0,0.57,0.6,0.607,0.251,0.024,0.141,0.355,0.195,0.364,6,0.3308,0.3031,0.4652,0.1847,0.7005,0.5103,0.8425,0.5802,0.6233,13.63,0.3916,0.423,0.5769,1.0,0.1847,0.088,0.3154,0.2995,0.3031,0.4652,0.1341,0.6021,0.5763,0.6131,0.18,-0.0105,1.0951,late_night,78.02,83.97,0.6706,0.4121,High
NORTH BANGALORE,Bi-directional,13.039714,77.59461,Hebbal,Hebbal,Vishwanatha Nagenhalli Main Road,tertiary,tertiary,none,7.5m,30.0,0.22,0.3,0.669,0.287,0.137,0.118,0.259,0.11,0.428,6,0.3589,0.3221,0.4553,0.208,0.7292,0.5143,0.8312,0.4817,0.4816,10.83,0.4354,0.385,0.2555,0.9617,0.208,0.0698,0.3039,0.2708,0.3221,0.4553,0.1584,0.5297,0.5522,0.6131,0.0,-0.0143,1.0951,late_night,23.86,58.43,0.6806,0.4121,Low
