zone,lat,lng,final_risk_score,road_risk_score,confidence_score,uncertainty_level,risk_band
WEST BANGALORE,12.977938,77.55046,90.41,0.5452,0.5302,0.6151,Critical
EAST BANGALORE,12.933211,77.70386,90.39,0.5541,0.532,0.6151,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.917377,77.616905,90.38,0.5681,0.5681,0.5556,Critical
SOUTHEAST / IT CORRIDOR,12.845728,77.650154,90.38,0.5664,0.5027,0.6486,Critical
WEST BANGALORE,12.980988,77.635345,90.37,0.5716,0.7778,0.2143,Critical
SOUTH BANGALORE,12.863952,77.58843,90.31,0.6876,0.5223,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.967088,77.63939,90.3,0.618,0.5875,0.5286,Critical
SOUTHEAST / IT CORRIDOR,12.958394,77.64091,90.21,0.5768,0.6194,0.4788,Critical
SOUTH BANGALORE,12.920586,77.597565,90.16,0.5946,0.5042,0.6486,Critical
SOUTH BANGALORE,12.942563,77.57979,90.14,0.6741,0.5667,0.5556,Critical
SOUTH BANGALORE,12.914078,77.63604,90.12,0.6023,0.6498,0.4334,Critical
WEST BANGALORE,12.974022,77.637344,90.11,0.5567,0.7929,0.1835,Critical
SOUTH BANGALORE,12.914786,77.63979,90.09,0.5543,0.6478,0.4334,Critical
EAST BANGALORE,12.955287,77.7218,90.06,0.6402,0.5247,0.6151,Critical
EAST BANGALORE,12.955821,77.720924,90.03,0.6178,0.5273,0.6151,Critical
SOUTH BANGALORE,12.941147,77.60352,90.02,0.687,0.6038,0.5031,Critical
SOUTH BANGALORE,12.91435,77.579636,89.85,0.5987,0.5278,0.6151,Critical
EAST BANGALORE,12.968158,77.718346,89.85,0.5872,0.5259,0.6151,Critical
EAST BANGALORE,12.957799,77.71937,89.85,0.5571,0.5217,0.6151,Critical
SOUTH BANGALORE,12.943837,77.59403,89.8,0.6059,0.5068,0.6486,Critical
WEST BANGALORE,13.027125,77.536995,89.79,0.5981,0.5543,0.5843,Critical
WEST BANGALORE,12.975023,77.63253,89.79,0.5523,0.6954,0.3521,Critical
SOUTHEAST / IT CORRIDOR,12.902993,77.67737,89.76,0.6501,0.5201,0.6151,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.916286,77.62692,89.75,0.5473,0.5542,0.5843,Critical
EAST BANGALORE,12.940062,77.70593,89.72,0.6308,0.6265,0.4788,Critical
SOUTH BANGALORE,12.9508,77.601974,89.72,0.6534,0.5512,0.5843,Critical
SOUTHEAST / IT CORRIDOR,12.915393,77.61708,89.71,0.5436,0.5665,0.5556,Critical
SOUTH BANGALORE,12.930028,77.607475,89.68,0.6115,0.6391,0.4557,Critical
EAST BANGALORE,12.936231,77.70059,89.66,0.657,0.6213,0.4788,Critical
SOUTH BANGALORE,12.95019,77.60346,89.63,0.687,0.5454,0.5843,Critical
WEST BANGALORE,12.977816,77.630264,89.61,0.5393,0.6739,0.3914,Critical
SOUTH BANGALORE,12.924147,77.61628,89.61,0.5705,0.6366,0.4557,Critical
SOUTH BANGALORE,12.87439,77.60128,89.57,0.6013,0.5896,0.5286,Critical
EAST BANGALORE,12.957771,77.72006,89.52,0.6843,0.5201,0.6151,Critical
EAST BANGALORE,12.938412,77.70242,89.51,0.6147,0.588,0.5286,Critical
SOUTH BANGALORE,12.926323,77.605156,89.49,0.619,0.6093,0.5031,Critical
EAST BANGALORE,12.938666,77.70947,89.46,0.6514,0.5459,0.5843,Critical
CENTRAL BANGALORE,12.99582,77.5885,89.46,0.638,0.5271,0.6151,Critical
EAST BANGALORE,12.955243,77.72098,89.42,0.5574,0.5278,0.6151,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.968781,77.58323,89.37,0.6103,0.5911,0.5286,Critical
SOUTHEAST / IT CORRIDOR,12.899366,77.67658,89.35,0.648,0.5115,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.922582,77.620255,89.34,0.5909,0.6365,0.4557,Critical
WEST BANGALORE,12.990521,77.54213,89.28,0.5746,0.5735,0.5556,Critical
SOUTH BANGALORE,12.941155,77.607445,89.28,0.5995,0.6416,0.4557,Critical
CENTRAL BANGALORE,12.993049,77.593544,89.26,0.5955,0.5274,0.6151,Critical
SOUTH BANGALORE,12.952318,77.60098,89.26,0.6647,0.5469,0.5843,Critical
WEST BANGALORE,13.01763,77.54119,89.2,0.6005,0.5817,0.5286,Critical
WEST BANGALORE,12.973837,77.63785,89.19,0.5415,0.7994,0.1835,Critical
SOUTH BANGALORE,12.942934,77.59827,89.18,0.619,0.5041,0.6486,Critical
SOUTH BANGALORE,12.924436,77.61366,89.16,0.5885,0.6228,0.4788,Critical
SOUTH BANGALORE,12.944213,77.59607,89.08,0.5688,0.5564,0.5843,Critical
SOUTH BANGALORE,12.943508,77.59471,89.06,0.6735,0.5034,0.6486,Critical
EAST BANGALORE,12.937298,77.70638,89.01,0.6828,0.6217,0.4788,Critical
NORTH BANGALORE,13.052496,77.59908,88.99,0.6009,0.5477,0.5843,Critical
EAST BANGALORE,12.95497,77.72113,88.98,0.6059,0.5257,0.6151,Critical
EAST BANGALORE,12.958591,77.71874,88.92,0.67,0.5181,0.6151,Critical
SOUTH BANGALORE,12.910923,77.6306,88.91,0.5688,0.5032,0.6486,Critical
SOUTH BANGALORE,12.945918,77.5776,88.9,0.6579,0.603,0.5031,Critical
SOUTH BANGALORE,12.926115,77.60143,88.89,0.6745,0.504,0.6486,Critical
EAST BANGALORE,12.957408,77.719345,88.86,0.5735,0.5185,0.6151,Critical
EAST BANGALORE,12.963412,77.72434,88.82,0.6593,0.5273,0.6151,Critical
SOUTH BANGALORE,12.924141,77.6154,88.8,0.5667,0.606,0.5031,Critical
EAST BANGALORE,12.941305,77.70402,88.79,0.64,0.6239,0.4788,Critical
WEST BANGALORE,13.019183,77.5381,88.76,0.7133,0.5818,0.5286,Critical
SOUTH BANGALORE,12.918078,77.63603,88.76,0.6195,0.619,0.4788,Critical
NORTH BANGALORE,12.945174,77.59835,88.7,0.6609,0.5513,0.5843,Critical
WEST BANGALORE,12.973302,77.63821,88.7,0.515,0.7953,0.1835,Critical
SOUTH BANGALORE,12.925137,77.60596,88.7,0.596,0.5042,0.6486,Critical
SOUTHEAST / IT CORRIDOR,12.917744,77.6305,88.68,0.6444,0.5902,0.5286,Critical
SOUTHEAST / IT CORRIDOR,12.962291,77.63929,88.66,0.63,0.5871,0.5286,Critical
EAST BANGALORE,12.959486,77.719734,88.63,0.6198,0.519,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.913338,77.63902,88.62,0.5316,0.653,0.4334,Critical
WEST BANGALORE,12.976897,77.63202,88.61,0.5457,0.7185,0.3151,Critical
EAST BANGALORE,12.955117,77.71982,88.56,0.6008,0.523,0.6151,Critical
EAST BANGALORE,12.926989,77.67783,88.53,0.581,0.5225,0.6151,Critical
NORTH BANGALORE,12.955788,77.589035,88.53,0.6467,0.5246,0.6151,Critical
EAST BANGALORE,12.934933,77.69997,88.52,0.6564,0.5211,0.6151,Critical
SOUTH BANGALORE,12.918963,77.594215,88.45,0.6247,0.5001,0.6486,Critical
WEST BANGALORE,13.019409,77.53674,88.37,0.6401,0.586,0.5286,Critical
WEST BANGALORE,13.01913,77.53958,88.37,0.5904,0.5834,0.5286,Critical
SOUTHEAST / IT CORRIDOR,12.961406,77.64265,88.34,0.6142,0.5811,0.5286,Critical
EAST BANGALORE,12.967856,77.71897,88.34,0.6241,0.525,0.6151,Critical
EAST BANGALORE,12.955634,77.72015,88.32,0.6301,0.5223,0.6151,Critical
SOUTH BANGALORE,12.861344,77.61227,88.17,0.6957,0.5,0.6486,Critical
SOUTHEAST / IT CORRIDOR,12.906423,77.63422,88.17,0.5807,0.5051,0.6486,Critical
WEST BANGALORE,12.980406,77.63547,88.16,0.4696,0.7991,0.1835,Critical
SOUTH BANGALORE,12.90719,77.638565,88.13,0.6661,0.5474,0.5843,Critical
WEST BANGALORE,12.970412,77.63595,88.11,0.6153,0.6133,0.4788,Critical
EAST BANGALORE,12.93709,77.70442,88.09,0.6865,0.6221,0.4788,Critical
SOUTH BANGALORE,12.923398,77.633896,88.09,0.5605,0.6226,0.4788,Critical
SOUTHEAST / IT CORRIDOR,12.918646,77.63073,88.06,0.584,0.5895,0.5286,Critical
EAST BANGALORE,12.936525,77.7039,87.98,0.6484,0.6558,0.4334,Critical
NORTH BANGALORE,13.049777,77.60431,87.98,0.6218,0.5007,0.6486,Critical
EAST BANGALORE,12.959956,77.71938,87.98,0.5546,0.52,0.6151,Critical
SOUTH BANGALORE,12.928824,77.58946,87.96,0.6071,0.6245,0.4788,Critical
SOUTH BANGALORE,12.920589,77.632645,87.95,0.5889,0.5498,0.5843,Critical
SOUTH BANGALORE,12.870457,77.61203,87.93,0.6445,0.5007,0.6486,Critical
NORTH BANGALORE,12.94757,77.60004,87.88,0.5959,0.5529,0.5843,Critical
SOUTH BANGALORE,12.919173,77.63651,87.88,0.5547,0.6192,0.4788,Critical
SOUTH BANGALORE,12.916424,77.64238,87.84,0.5639,0.65,0.4334,Critical
SOUTH BANGALORE,12.944492,77.60903,87.81,0.6689,0.6059,0.5031,Critical
SOUTHEAST / IT CORRIDOR,12.914001,77.61978,87.75,0.583,0.5255,0.6151,Critical
SOUTH BANGALORE,12.930328,77.6027,87.74,0.6503,0.6053,0.5031,Critical
NORTH BANGALORE,13.047451,77.63148,87.73,0.6067,0.5265,0.6151,Critical
WEST BANGALORE,12.988943,77.541245,87.72,0.5859,0.5756,0.5556,Critical
SOUTH BANGALORE,12.918886,77.63695,87.72,0.6429,0.6153,0.4788,Critical
SOUTH BANGALORE,12.926511,77.60447,87.7,0.682,0.6065,0.5031,Critical
NORTH BANGALORE,12.946052,77.591354,87.65,0.6584,0.5893,0.5286,Critical
NORTH BANGALORE,12.945416,77.597305,87.58,0.6331,0.549,0.5843,Critical
SOUTH BANGALORE,12.921531,77.63286,87.54,0.6539,0.6168,0.4788,Critical
EAST BANGALORE,12.974833,77.71304,87.52,0.6394,0.5684,0.5556,Critical
SOUTH BANGALORE,12.872813,77.601524,87.51,0.6659,0.6201,0.4788,Critical
WEST BANGALORE,13.028058,77.536766,87.5,0.5879,0.553,0.5843,Critical
SOUTH BANGALORE,12.867674,77.61267,87.44,0.6326,0.5007,0.6486,Critical
NORTH BANGALORE,13.052907,77.60063,87.37,0.646,0.5485,0.5843,Critical
SOUTH BANGALORE,12.94921,77.60537,87.33,0.6237,0.5518,0.5843,Critical
SOUTH BANGALORE,12.922917,77.606766,87.31,0.6347,0.5077,0.6486,Critical
NORTH BANGALORE,13.005807,77.57734,87.3,0.5727,0.5322,0.6151,Critical
WEST BANGALORE,12.970588,77.63897,87.29,0.6596,0.7486,0.263,Critical
WEST BANGALORE,13.016636,77.54125,87.23,0.6109,0.5815,0.5286,Critical
SOUTH BANGALORE,12.860091,77.59405,87.19,0.6251,0.6223,0.4788,Critical
EAST BANGALORE,12.9359,77.69988,87.06,0.5776,0.6249,0.4788,Critical
EAST BANGALORE,12.934207,77.7097,87.04,0.674,0.5472,0.5843,Critical
WEST BANGALORE,13.015011,77.53964,87.03,0.6348,0.5454,0.5843,Critical
WEST BANGALORE,12.980058,77.63433,86.95,0.4666,0.7608,0.2464,Critical
NORTH BANGALORE,13.048848,77.63212,86.95,0.6081,0.5217,0.6151,Critical
EAST BANGALORE,12.959895,77.72029,86.94,0.6185,0.5185,0.6151,Critical
WEST BANGALORE,12.977559,77.63658,86.91,0.497,0.8169,0.1538,Critical
EAST BANGALORE,12.925951,77.67792,86.9,0.6541,0.5213,0.6151,Critical
SOUTH BANGALORE,12.926505,77.61067,86.88,0.6073,0.6389,0.4557,Critical
SOUTH BANGALORE,12.922005,77.634094,86.83,0.5706,0.5887,0.5286,Critical
SOUTH BANGALORE,12.94179,77.60756,86.82,0.631,0.6409,0.4557,Critical
SOUTH BANGALORE,12.934981,77.578186,86.75,0.6208,0.7149,0.3333,Critical
EAST BANGALORE,12.957292,77.71861,86.68,0.5738,0.5225,0.6151,Critical
EAST BANGALORE,12.967827,77.718704,86.68,0.6106,0.5308,0.6151,Critical
EAST BANGALORE,12.982059,77.71655,86.65,0.6034,0.5263,0.6151,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.968771,77.58159,86.63,0.5802,0.5946,0.5286,Critical
NORTH BANGALORE,13.050062,77.6038,86.63,0.5499,0.5047,0.6486,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.968755,77.58429,86.62,0.6252,0.5528,0.5843,Critical
SOUTH BANGALORE,12.947738,77.57084,86.62,0.6001,0.5271,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.965242,77.64409,86.61,0.5314,0.5925,0.5286,Critical
SOUTH BANGALORE,12.92957,77.598114,86.6,0.5992,0.5021,0.6486,Critical
EAST BANGALORE,12.981872,77.7167,86.6,0.6549,0.5228,0.6151,Critical
SOUTHEAST / IT CORRIDOR,12.915936,77.61365,86.59,0.5224,0.6497,0.4334,Critical
WEST BANGALORE,13.012588,77.55032,86.52,0.6479,0.5008,0.6486,Critical
SOUTHEAST / IT CORRIDOR,12.957086,77.64204,86.51,0.5894,0.6243,0.4788,Critical
WEST BANGALORE,13.026831,77.53915,86.5,0.5548,0.5928,0.5286,Critical
SOUTH BANGALORE,12.943996,77.60347,86.48,0.6605,0.6061,0.5031,Critical
SOUTHEAST / IT CORRIDOR,12.918137,77.63396,86.48,0.5756,0.5866,0.5286,Critical
EAST BANGALORE,12.935795,77.70127,86.44,0.6369,0.6202,0.4788,Critical
EAST BANGALORE,12.966058,77.714195,86.38,0.5702,0.571,0.5556,Critical
NORTH BANGALORE,13.07171,77.583466,86.37,0.5832,0.5268,0.6151,Critical
SOUTH BANGALORE,12.873932,77.60638,86.36,0.6754,0.5005,0.6486,Critical
SOUTH BANGALORE,12.934932,77.56927,86.35,0.5904,0.5547,0.5843,Critical
SOUTH BANGALORE,12.920694,77.63412,86.32,0.5269,0.5487,0.5843,Critical
SOUTH BANGALORE,12.927503,77.606255,86.32,0.6158,0.6071,0.5031,Critical
SOUTH BANGALORE,12.92805,77.607994,86.25,0.6293,0.6064,0.5031,Critical
SOUTH BANGALORE,12.920828,77.635124,86.21,0.6232,0.5439,0.5843,Critical
SOUTHEAST / IT CORRIDOR,12.92042,77.61121,86.2,0.5679,0.5901,0.5286,Critical
WEST BANGALORE,13.016473,77.540436,86.2,0.686,0.5821,0.5286,Critical
NORTH BANGALORE,13.048106,77.600586,86.19,0.6301,0.6363,0.4557,Critical
WEST BANGALORE,12.973396,77.63069,86.19,0.5632,0.618,0.4788,Critical
SOUTHEAST / IT CORRIDOR,12.962297,77.64264,86.18,0.629,0.584,0.5286,Critical
SOUTHEAST / IT CORRIDOR,12.917402,77.63283,86.15,0.6122,0.5495,0.5843,Critical
SOUTH BANGALORE,12.915921,77.6127,86.12,0.5519,0.6516,0.4334,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.970396,77.58382,86.11,0.6028,0.5533,0.5843,Critical
SOUTHEAST / IT CORRIDOR,12.910053,77.633224,86.09,0.5954,0.505,0.6486,Critical
SOUTH BANGALORE,12.925992,77.59809,86.08,0.6381,0.5003,0.6486,Critical
SOUTH BANGALORE,12.94898,77.60521,86.07,0.6464,0.5504,0.5843,Critical
EAST BANGALORE,12.935847,77.70526,86.06,0.6539,0.6208,0.4788,Critical
SOUTHEAST / IT CORRIDOR,12.917199,77.64611,86.04,0.553,0.5273,0.6151,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.912311,77.627174,86.0,0.6066,0.5539,0.5843,Critical
SOUTHEAST / IT CORRIDOR,12.965269,77.64062,85.98,0.6397,0.5869,0.5286,Critical
SOUTH BANGALORE,12.937432,77.61157,85.97,0.6261,0.6677,0.4121,Critical
NORTH BANGALORE,12.94629,77.59166,85.94,0.6581,0.587,0.5286,Critical
LOGISTICS / HIGH TRAFFIC ZONES,13.00785,77.56668,85.93,0.6016,0.5485,0.5843,Critical
SOUTHEAST / IT CORRIDOR,12.965829,77.644165,85.88,0.6129,0.5884,0.5286,Critical
WEST BANGALORE,13.014606,77.5333,85.88,0.6278,0.5503,0.5843,Critical
CENTRAL BANGALORE,12.992255,77.5919,85.87,0.5743,0.5327,0.6151,Critical
SOUTH BANGALORE,12.913643,77.639336,85.85,0.5488,0.6513,0.4334,Critical
SOUTHEAST / IT CORRIDOR,12.963767,77.64094,85.78,0.6486,0.5855,0.5286,Critical
WEST BANGALORE,13.02909,77.528984,85.71,0.6311,0.5027,0.6486,Critical
SOUTHEAST / IT CORRIDOR,12.917757,77.64381,85.71,0.5364,0.6226,0.4788,Critical
WEST BANGALORE,13.01713,77.532295,85.7,0.6718,0.5454,0.5843,Critical
SOUTH BANGALORE,12.91301,77.64105,85.69,0.5833,0.6507,0.4334,Critical
SOUTH BANGALORE,12.910908,77.64202,85.67,0.5261,0.627,0.4788,Critical
LOGISTICS / HIGH TRAFFIC ZONES,12.915628,77.617134,85.66,0.5519,0.5692,0.5556,Critical
SOUTHEAST / IT CORRIDOR,12.91435,77.61898,85.65,0.5505,0.5695,0.5556,Critical
WEST BANGALORE,13.026731,77.53873,85.65,0.6672,0.5893,0.5286,Critical
LOGISTICS / HIGH TRAFFIC ZONES,13.007637,77.56814,85.62,0.5617,0.5949,0.5286,Critical
SOUTH BANGALORE,12.92252,77.58614,85.62,0.5833,0.629,0.4788,Critical
SOUTH BANGALORE,12.921971,77.6094,85.6,0.611,0.5055,0.6486,Critical
EAST BANGALORE,12.968642,77.71839,85.58,0.7058,0.5212,0.6151,Critical
SOUTH BANGALORE,12.926573,77.60946,85.51,0.6236,0.6378,0.4557,Critical
SOUTH BANGALORE,12.927534,77.603325,85.47,0.5703,0.6107,0.5031,Critical
EAST BANGALORE,12.968528,77.71837,85.42,0.6228,0.527,0.6151,Critical
SOUTH BANGALORE,12.919861,77.61511,85.41,0.5592,0.5262,0.6151,Critical
EAST BANGALORE,12.926025,77.67759,85.41,0.6653,0.5186,0.6151,Critical
SOUTH BANGALORE,12.920667,77.61277,85.38,0.5805,0.5883,0.5286,Critical
SOUTHEAST / IT CORRIDOR,12.967831,77.639305,85.35,0.5468,0.6075,0.5031,Critical
SOUTHEAST / IT CORRIDOR,12.962067,77.64264,85.33,0.5978,0.5829,0.5286,Critical
SOUTH BANGALORE,12.946306,77.60302,85.33,0.5438,0.5563,0.5843,Critical
NORTH BANGALORE,12.9716,77.5946,85.32,0.5534,0.5251,0.6151,Critical
