edge_id,source_node,destination_node,lat,lng,road_width_estimate,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count,zone,source_area,destination_area,road_name,road_type,highway_type,zone_type,static_component,graph_component,static_distance_km,static_travel_time_min
EDGE_52_15688,52,15688,12.985313,77.602653,,30.0,0.31,0.51,0.618,0.355,0.166,0.12,0.632,0.705,0.34,0.503,0.155,0.432,0.498,0.283,0.358,2.23,0.583,0.288,0.367,0.486,0.352,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.19108637992206126,-3.4008602310411685e-06,0.7762748356265102,1.5525496712530205
EDGE_53_15689,53,15689,12.987969,77.611392,,30.0,0.18,0.41,0.602,0.43,0.331,0.83,0.606,0.675,0.478,0.454,0.084,0.341,0.523,0.359,0.416,4.8,0.582,0.241,0.312,0.427,0.575,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,residential,residential,Residential Hub,0.31767179835654874,-3.4008602310411685e-06,0.7762707928912799,1.5525415857825597
EDGE_54_15690,54,15690,12.989785,77.606698,,20.0,0.49,0.43,0.606,0.382,0.227,0.222,0.526,0.717,0.258,0.458,0.074,0.429,0.525,0.27,0.372,3.35,0.655,0.155,0.382,0.415,0.34,8,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.10751256956732748,-3.4008602310411685e-06,0.7762680282770666,1.5525360565541333
EDGE_55_15691,55,15691,12.98642,77.611847,,20.0,0.21,0.33,0.605,0.391,0.072,0.587,0.604,0.716,0.359,0.437,0.061,0.323,0.43,0.312,0.375,4.39,0.603,0.197,0.388,0.483,0.42,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.22486716407998167,-3.4008602310411685e-06,0.7762731507421738,1.5525463014843477
EDGE_56_15692,56,15692,12.987702,77.610168,,30.0,0.45,0.43,0.71,0.392,0.275,0.721,0.695,0.794,0.358,0.6,0.056,0.51,0.605,0.228,0.418,2.42,0.747,0.257,0.479,0.548,0.394,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,Commercial Hub,0.19513894019958694,-3.4008602310411685e-06,0.7762711993314911,1.5525423986629823
EDGE_57_15693,57,15693,12.989082,77.603915,,30.0,0.34,0.38,0.717,0.468,0.3,0.317,0.677,0.797,0.302,0.659,0.099,0.498,0.532,0.282,0.411,10.42,0.637,0.279,0.469,0.621,0.339,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Cockburn Road,tertiary,tertiary,Commercial Hub,0.17079898647928882,-3.4008602310411685e-06,0.7762690985432446,1.552538197086489
EDGE_58_15694,58,15694,12.986743,77.611375,,30.0,0.23,0.56,0.774,0.454,0.34,0.3,0.594,0.716,0.239,0.586,0.125,0.516,0.581,0.207,0.4,4.09,0.738,0.179,0.453,0.613,0.295,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Armstrong Road,tertiary,tertiary,Commercial Hub,0.13881028602595782,-3.4008602310411685e-06,0.7762726591014505,1.552545318202901
EDGE_59_15695,59,15695,12.983978,77.611376,,30.0,0.37,0.36,0.779,0.387,0.118,0.433,0.608,0.729,0.366,0.582,0.132,0.564,0.472,0.236,0.382,3.09,0.712,0.127,0.513,0.611,0.396,4,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Kamaraj Road,tertiary,tertiary,Commercial Hub,0.16795651404027295,-3.4008602310411685e-06,0.7762768673504857,1.5525537347009715
EDGE_60_15696,60,15696,12.980342,77.611922,,40.0,0.43,0.24,0.755,0.462,0.31,0.738,0.687,0.807,0.365,0.613,0.071,0.651,0.449,0.282,0.43,17.69,0.71,0.227,0.452,0.563,0.386,1,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Dickenson Road,secondary,secondary,Commercial Hub,0.18922631309523766,-3.4008602310411685e-06,0.7762823999323291,1.5525647998646581
EDGE_61_15697,61,15697,12.984707,77.610126,,30.0,0.14,0.21,0.864,0.487,0.006,0.58,0.648,0.746,0.264,0.556,0.141,0.427,0.63,0.166,0.327,4.8,0.643,0.19,0.476,0.598,0.382,8,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Dharamaraja Koil Street,tertiary,tertiary,Commercial Hub,0.13292863857058268,-3.4008602310411685e-06,0.7762757579169705,1.552551515833941
EDGE_62_15698,62,15698,12.984978,77.60753,,20.0,0.3,0.26,0.548,0.393,0.421,0.465,0.661,0.708,0.298,0.522,0.144,0.317,0.412,0.242,0.363,2.55,0.631,0.126,0.269,0.523,0.355,6,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,UNKNOWN,living_street,living_street,Residential Hub,0.14188861795438118,-3.4008602310411685e-06,0.776275345478632,1.552550690957264
EDGE_15699_15700,15699,15700,12.992065,77.599983,,50.0,0.12,0.65,0.752,0.453,0.356,0.531,0.71,0.879,0.278,0.637,0.157,0.679,0.616,0.18,0.315,4.63,0.696,0.064,0.623,0.69,0.336,2,CENTRAL BANGALORE,Shivajinagar,Shivajinagar,Queen's Road,primary,primary,Commercial Hub,0.0684688813762731,-3.4008602310411685e-06,0.7762645567625741,1.5525291135251482
