edge_id,geometry_polyline,geometry_length,bearing,road_curvature
EDGE_155_43074,"[[12.981291, 77.59782], [12.983791, 77.60032], [12.986291, 77.60282]]",0.7763,44.26,0.0
EDGE_156_43075,"[[12.981608, 77.598694], [12.984108, 77.601194], [12.986608, 77.603694]]",0.7763,44.26,0.0
EDGE_157_43076,"[[12.980862, 77.59847], [12.983362, 77.60097], [12.985862, 77.60347]]",0.7763,44.26,0.0
EDGE_158_43077,"[[12.9709015, 77.61233], [12.9734015, 77.61483], [12.9759015, 77.61733]]",0.7763,44.26,0.0
EDGE_159_43078,"[[12.970643, 77.61289], [12.973143, 77.61539], [12.975643, 77.61789]]",0.7763,44.26,0.0
EDGE_160_43079,"[[12.96978, 77.615036], [12.97228, 77.617536], [12.97478, 77.620036]]",0.7763,44.26,0.0
EDGE_161_43080,"[[12.970792, 77.61477], [12.973292, 77.61727], [12.975792, 77.61977]]",0.7763,44.26,0.0
EDGE_162_43081,"[[12.969094, 77.61538], [12.971594, 77.61788], [12.974094, 77.62038]]",0.7763,44.26,0.0
EDGE_163_43082,"[[12.969496, 77.61601], [12.971996, 77.61851], [12.974496, 77.62101]]",0.7763,44.26,0.0
EDGE_164_43083,"[[12.971223, 77.6151], [12.973723, 77.6176], [12.976223, 77.6201]]",0.7763,44.26,0.0
EDGE_165_43084,"[[12.971831, 77.61406], [12.9743225, 77.616562], [12.976814, 77.619064]]",0.7752,44.38,0.0
EDGE_166_43085,"[[12.964141, 77.61455], [12.966641, 77.61705], [12.969141, 77.61955]]",0.7763,44.26,0.0
EDGE_167_43086,"[[12.964559, 77.614044], [12.967059, 77.616544], [12.969559, 77.619044]]",0.7763,44.26,0.0
EDGE_168_43087,"[[12.9629755, 77.61461], [12.9654755, 77.61711], [12.9679755, 77.61961]]",0.7763,44.26,0.0
EDGE_169_43088,"[[12.962969, 77.61477], [12.965469, 77.61727], [12.967969, 77.61977]]",0.7763,44.26,0.0
EDGE_170_43089,"[[12.96955, 77.60762], [12.97205, 77.61012], [12.97455, 77.61262]]",0.7763,44.26,0.0
EDGE_171_43090,"[[12.969333, 77.60804], [12.971833, 77.61054], [12.974333, 77.61304]]",0.7763,44.26,0.0
EDGE_172_43091,"[[12.96961, 77.60862], [12.97211, 77.61112], [12.97461, 77.61362]]",0.7763,44.26,0.0
EDGE_173_43092,"[[12.968701, 77.60993], [12.971201, 77.61243], [12.973701, 77.61493]]",0.7763,44.26,0.0
EDGE_175_43094,"[[12.988661, 77.59334], [12.991161, 77.59584], [12.993661, 77.59834]]",0.7763,44.26,0.0
EDGE_176_43095,"[[12.987019, 77.595], [12.989542, 77.59749], [12.992065, 77.59998]]",0.7784,43.88,0.0
EDGE_177_43096,"[[12.988827, 77.5936], [12.991327, 77.5961], [12.993827, 77.5986]]",0.7763,44.26,0.0
EDGE_178_43097,"[[12.972572, 77.61875], [12.975072, 77.62125], [12.977572, 77.62375]]",0.7763,44.26,0.0
EDGE_179_43098,"[[12.974896, 77.60871], [12.977396, 77.61121], [12.979896, 77.61371]]",0.7763,44.26,0.0
EDGE_180_43099,"[[12.973984, 77.611595], [12.976484, 77.614095], [12.978984, 77.616595]]",0.7763,44.26,0.0
EDGE_181_43100,"[[12.9742, 77.61165], [12.9767, 77.61415], [12.9792, 77.61665]]",0.7763,44.26,0.0
EDGE_182_43101,"[[12.976581, 77.60027], [12.979081, 77.60277], [12.981581, 77.60527]]",0.7763,44.26,0.0
EDGE_183_43102,"[[12.973521, 77.61452], [12.976021, 77.61702], [12.978521, 77.61952]]",0.7763,44.26,0.0
EDGE_184_43103,"[[12.976466, 77.60217], [12.978966, 77.60467], [12.981466, 77.60717]]",0.7763,44.26,0.0
EDGE_185_43104,"[[12.981614, 77.61005], [12.984114, 77.61255], [12.986614, 77.61505]]",0.7763,44.26,0.0
EDGE_186_43105,"[[12.981872, 77.61039], [12.984372, 77.61289], [12.986872, 77.61539]]",0.7763,44.26,0.0
EDGE_187_43106,"[[12.983628, 77.60657], [12.986128, 77.60907], [12.988628, 77.61157]]",0.7763,44.26,0.0
EDGE_188_43107,"[[12.983954, 77.606735], [12.986454, 77.609235], [12.988954, 77.611735]]",0.7763,44.26,0.0
EDGE_189_43108,"[[12.986267, 77.61202], [12.988767, 77.61452], [12.991267, 77.61702]]",0.7763,44.26,0.0
EDGE_190_43109,"[[12.986111, 77.612175], [12.988611, 77.614675], [12.991111, 77.617175]]",0.7763,44.26,0.0
EDGE_191_43110,"[[12.973551, 77.607735], [12.976051, 77.610235], [12.978551, 77.612735]]",0.7763,44.26,0.0
EDGE_192_43111,"[[12.973128, 77.60602], [12.975628, 77.60852], [12.978128, 77.61102]]",0.7763,44.26,0.0
EDGE_193_43112,"[[12.972351, 77.60555], [12.974851, 77.60805], [12.977351, 77.61055]]",0.7763,44.26,0.0
EDGE_194_43113,"[[12.972122, 77.6043], [12.974622, 77.6068], [12.977122, 77.6093]]",0.7763,44.26,0.0
EDGE_195_43114,"[[12.976173, 77.603424], [12.978673, 77.605924], [12.981173, 77.608424]]",0.7763,44.26,0.0
EDGE_43115_43116,"[[12.975575, 77.60421], [12.978075, 77.60671], [12.980575, 77.60921]]",0.7763,44.26,0.0
EDGE_197_43117,"[[12.986769, 77.61949], [12.989269, 77.62199], [12.991769, 77.62449]]",0.7763,44.26,0.0
EDGE_43118_43119,"[[12.966385, 77.59507], [12.968885, 77.59757], [12.971385, 77.60007]]",0.7763,44.26,0.0
EDGE_199_43120,"[[12.965728, 77.59754], [12.968228, 77.60004], [12.970728, 77.60254]]",0.7763,44.26,0.0
EDGE_200_43121,"[[12.96495, 77.59693], [12.96745, 77.59943], [12.96995, 77.60193]]",0.7763,44.26,0.0
EDGE_201_43122,"[[12.965135, 77.59693], [12.967635, 77.59943], [12.970135, 77.60193]]",0.7763,44.26,0.0
EDGE_202_43123,"[[12.965021, 77.597115], [12.967521, 77.599615], [12.970021, 77.602115]]",0.7763,44.26,0.0
EDGE_203_43124,"[[12.962172, 77.59455], [12.964672, 77.59705], [12.967172, 77.59955]]",0.7763,44.26,0.0
EDGE_204_43125,"[[12.984717, 77.601746], [12.987217, 77.604246], [12.989717, 77.606746]]",0.7763,44.26,0.0
EDGE_205_43126,"[[12.985913, 77.59783], [12.988413, 77.60033], [12.990913, 77.60283]]",0.7763,44.26,0.0
EDGE_206_43127,"[[12.985872, 77.598404], [12.988372, 77.600904], [12.990872, 77.603404]]",0.7763,44.26,0.0
EDGE_207_43128,"[[12.986366, 77.597725], [12.988866, 77.600225], [12.991366, 77.602725]]",0.7763,44.26,0.0
EDGE_208_43129,"[[12.976622, 77.59921], [12.979122, 77.60171], [12.981622, 77.60421]]",0.7763,44.26,0.0
EDGE_209_43130,"[[12.9756155, 77.597916], [12.9781155, 77.600416], [12.9806155, 77.602916]]",0.7763,44.26,0.0
EDGE_210_43131,"[[12.9722, 77.59426], [12.9747, 77.59676], [12.9772, 77.59926]]",0.7763,44.26,0.0
EDGE_211_43132,"[[12.972253, 77.59417], [12.974753, 77.59667], [12.977253, 77.59917]]",0.7763,44.26,0.0
EDGE_212_43133,"[[12.9802265, 77.59966], [12.9827265, 77.60216], [12.9852265, 77.60466]]",0.7763,44.26,0.0
EDGE_213_43134,"[[12.981969, 77.59936], [12.984469, 77.60186], [12.986969, 77.60436]]",0.7763,44.26,0.0
EDGE_214_43135,"[[12.983902, 77.600845], [12.986402, 77.603345], [12.988902, 77.605845]]",0.7763,44.26,0.0
EDGE_215_43136,"[[12.984142, 77.60022], [12.986642, 77.60272], [12.989142, 77.60522]]",0.7763,44.26,0.0
EDGE_216_43137,"[[12.985081, 77.59775], [12.987581, 77.60025], [12.990081, 77.60275]]",0.7763,44.26,0.0
EDGE_217_43138,"[[12.986127, 77.59667], [12.988627, 77.59917], [12.991127, 77.60167]]",0.7763,44.26,0.0
EDGE_218_43139,"[[12.984866, 77.5974], [12.987366, 77.5999], [12.989866, 77.6024]]",0.7763,44.26,0.0
EDGE_219_43140,"[[12.984133, 77.60145], [12.986633, 77.60395], [12.989133, 77.60645]]",0.7763,44.26,0.0
EDGE_220_43141,"[[12.983356, 77.601166], [12.985856, 77.603666], [12.988356, 77.606166]]",0.7763,44.26,0.0
